epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.3952,0.8239,0.8376,47.0,35.4,4.4148,1.1
20,0.3622,0.8237,0.8318,67.4,29.8,3.386,2.1
30,0.3208,0.8198,0.8234,72.0,25.4,3.5211,3.1
40,0.3069,0.8175,0.816,72.6,32.4,3.3536,4.2
50,0.2806,0.8142,0.8183,78.6,26.8,3.5121,5.2
60,0.2656,0.8091,0.8051,104.6,34.0,3.2877,6.2
70,0.2545,0.8117,0.8063,93.4,31.2,3.4066,7.2
80,0.2447,0.8092,0.8044,86.4,31.0,3.7141,8.4
90,0.2412,0.8074,0.8041,104.6,33.8,3.6894,9.5
100,0.2333,0.8086,0.8056,90.0,33.8,3.8208,10.7
