epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4028,0.8156,0.8231,36.0,32.2,5.7942,1.6
20,0.3538,0.8234,0.8307,51.8,31.6,3.99,3.3
30,0.3019,0.8184,0.8178,82.2,26.8,3.1981,4.9
40,0.2653,0.8138,0.8091,105.4,32.6,3.2976,6.5
50,0.227,0.8066,0.8007,102.0,31.2,3.6533,8.1
60,0.2013,0.8052,0.7998,116.2,31.4,3.6435,9.7
70,0.1845,0.8086,0.8059,94.6,29.2,3.6332,11.5
80,0.1652,0.8014,0.7956,124.8,33.6,3.5994,13.1
90,0.1572,0.806,0.7991,131.4,29.6,3.5646,14.7
100,0.1492,0.8073,0.8011,127.6,29.6,3.2797,16.3
