epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4306,0.8237,0.834,69.8,30.4,3.5419,0.8
20,0.4081,0.8236,0.8366,73.8,30.6,3.0944,1.6
30,0.3863,0.8205,0.8288,70.4,29.4,3.6747,2.4
40,0.3809,0.8183,0.826,73.2,32.0,3.4747,3.2
50,0.3647,0.8213,0.8274,65.8,27.0,3.7567,4.0
60,0.3572,0.8124,0.8162,78.8,35.6,3.8208,4.8
70,0.3512,0.8158,0.8226,80.6,29.4,3.6105,5.6
80,0.3509,0.8171,0.8216,78.6,31.0,3.6916,6.3
90,0.3449,0.8141,0.8175,95.0,29.8,3.8079,7.1
100,0.3417,0.8154,0.8189,79.8,31.4,3.8718,7.9
