epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4307,0.8236,0.8319,78.2,33.4,3.9302,0.8
20,0.4002,0.8214,0.8309,94.8,30.8,3.3741,1.6
30,0.3782,0.8215,0.8243,79.2,32.4,3.7665,2.4
40,0.372,0.8179,0.8204,73.4,32.6,3.8939,3.2
50,0.348,0.8153,0.8192,81.4,33.2,4.092,4.0
60,0.3447,0.8116,0.8121,101.4,33.2,3.8415,4.8
70,0.338,0.8141,0.8165,90.0,33.0,4.0032,5.6
80,0.3316,0.8144,0.8179,77.6,34.4,3.9402,6.3
90,0.3257,0.81,0.8074,95.6,33.4,3.9204,7.0
100,0.3185,0.8096,0.8096,102.4,37.4,4.1056,7.7
