epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.3917,0.8229,0.8276,72.8,31.4,4.3299,1.2
20,0.3695,0.8203,0.8234,94.2,33.6,3.4422,2.3
30,0.3496,0.8211,0.8209,89.8,26.8,3.7322,3.5
40,0.3434,0.8116,0.8106,88.4,37.0,3.8228,4.6
50,0.3268,0.8157,0.8153,85.6,32.4,3.9211,5.8
60,0.3231,0.8131,0.8087,112.6,33.8,3.7322,6.9
70,0.3179,0.813,0.8133,102.0,30.4,3.5043,8.0
80,0.3148,0.8137,0.8122,94.0,32.4,3.7322,9.2
90,0.3108,0.811,0.809,108.8,36.2,3.4952,10.3
100,0.3064,0.809,0.8018,91.4,35.0,4.1828,11.4
