epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4383,0.8151,0.8398,56.8,35.8,4.1369,1.1
20,0.4101,0.8195,0.8325,62.2,25.2,3.8127,2.1
30,0.3887,0.8178,0.8293,75.0,34.0,3.4894,3.2
40,0.3741,0.8168,0.8283,60.8,31.2,4.8026,4.2
50,0.366,0.8198,0.8239,62.8,27.8,4.0415,5.3
60,0.3606,0.8181,0.8269,62.2,26.0,3.729,6.4
70,0.3528,0.8161,0.8199,72.2,32.0,3.6797,7.6
80,0.3472,0.8168,0.8227,63.0,29.4,3.4649,8.8
90,0.3428,0.8154,0.8213,68.0,30.0,3.7591,10.0
100,0.3371,0.8147,0.8144,75.6,28.4,3.5391,11.1
