epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4339,0.8142,0.8422,61.0,26.6,3.8571,1.1
20,0.4051,0.8193,0.8415,60.2,24.6,3.4819,2.3
30,0.3858,0.8185,0.8286,62.0,32.8,3.9056,3.4
40,0.3703,0.8194,0.8363,55.0,27.6,3.7219,4.5
50,0.3639,0.8205,0.8319,63.8,28.6,3.6533,5.7
60,0.3589,0.8195,0.8262,63.8,28.2,3.6008,6.8
70,0.3513,0.8177,0.8236,63.4,32.6,3.7665,7.9
80,0.3444,0.8177,0.8217,75.0,31.4,3.7024,9.1
90,0.3384,0.8145,0.8195,81.0,34.2,3.7665,10.2
100,0.3363,0.8168,0.817,71.0,29.0,3.9096,11.4
