epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.6367,0.8192,0.8286,72.6,34.2,3.9862,0.8
20,0.6251,0.822,0.8324,64.0,30.4,3.3734,1.7
30,0.6062,0.8248,0.8328,64.6,32.4,3.1855,2.5
40,0.6009,0.8264,0.8353,60.8,31.4,3.1314,3.3
50,0.5949,0.8266,0.8344,63.4,33.8,2.8271,4.1
60,0.5926,0.8241,0.8345,72.4,32.4,2.8614,5.0
70,0.5924,0.8249,0.8349,68.8,29.8,2.956,5.8
80,0.5919,0.8234,0.832,73.2,28.8,2.7086,6.6
90,0.5856,0.8257,0.8358,67.6,30.2,2.6601,7.4
100,0.584,0.8268,0.8359,60.0,31.2,2.9915,8.2
