epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4783,0.8207,0.8241,65.8,26.0,4.2049,0.8
20,0.4607,0.821,0.8257,95.8,30.6,3.2,1.6
30,0.4581,0.8207,0.8285,65.4,30.6,3.5393,2.4
40,0.4502,0.8252,0.8313,57.8,28.8,3.7396,3.1
50,0.4463,0.825,0.8326,62.4,30.4,3.462,3.9
60,0.4458,0.8235,0.8368,60.6,29.0,3.1984,4.7
70,0.4424,0.8219,0.8312,61.6,33.2,3.6017,5.5
80,0.4392,0.827,0.8367,52.0,31.8,3.2427,6.3
90,0.4337,0.827,0.836,54.0,28.6,3.277,7.0
100,0.444,0.8252,0.836,59.8,30.6,3.211,7.8
