epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4637,0.8218,0.8275,60.6,30.4,4.2085,0.8
20,0.4524,0.8241,0.8371,58.4,27.8,3.3855,1.6
30,0.4475,0.826,0.8344,56.0,28.2,3.2179,2.3
40,0.4341,0.8241,0.8292,50.6,30.0,3.7228,3.1
50,0.4307,0.8283,0.8399,55.4,25.8,3.2627,3.8
60,0.4322,0.8275,0.8355,57.0,28.4,3.1512,4.6
70,0.4312,0.8278,0.8367,48.4,27.6,3.1413,5.4
80,0.4231,0.8272,0.8358,51.4,25.2,3.2179,6.1
90,0.4245,0.8238,0.833,54.0,28.6,3.2723,6.9
100,0.4173,0.8237,0.8348,53.4,31.6,3.0454,7.6
