epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4629,0.8217,0.8296,55.8,33.0,4.1683,1.4
20,0.4496,0.8245,0.8331,46.4,30.6,3.7736,2.8
30,0.4357,0.8256,0.8359,43.0,28.0,3.3076,4.2
40,0.4305,0.8296,0.8422,43.2,25.0,2.8799,5.6
50,0.4221,0.8261,0.84,47.4,27.8,2.9202,7.0
60,0.4212,0.8252,0.8337,47.0,27.4,3.4008,8.4
70,0.4162,0.8255,0.8352,61.4,25.0,2.8375,9.8
80,0.4146,0.8249,0.8343,59.2,24.2,2.7559,11.2
90,0.4066,0.8256,0.8378,59.0,24.6,2.6284,12.5
100,0.4068,0.8277,0.8407,56.0,23.6,2.7073,13.9
