epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4784,0.8189,0.8198,55.6,32.2,5.9868,0.9
20,0.4612,0.8205,0.8268,67.4,31.8,4.4988,1.8
30,0.454,0.8237,0.8328,54.6,29.8,3.9356,2.7
40,0.4436,0.8215,0.83,63.2,29.4,4.1515,3.5
50,0.4406,0.8235,0.8284,48.8,30.8,4.8222,4.4
60,0.4439,0.8214,0.8254,60.8,33.4,4.6289,5.3
70,0.4387,0.8212,0.8241,62.0,32.0,4.5398,6.2
80,0.438,0.823,0.8252,59.8,29.2,4.8248,7.0
90,0.4348,0.8251,0.8305,53.2,30.0,4.7799,7.9
100,0.432,0.8192,0.8255,63.6,32.4,4.0952,8.8
