epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.5177,0.7896,0.8055,85.6,47.0,5.4382,2.7
20,0.4971,0.7985,0.8188,89.4,42.6,3.8802,5.4
30,0.4942,0.8111,0.8239,56.0,32.2,4.3517,8.1
40,0.4818,0.8112,0.8241,61.2,37.4,4.0833,10.8
50,0.4798,0.8129,0.8279,64.6,35.2,3.9026,13.6
60,0.4751,0.8111,0.8228,64.8,38.6,4.1079,16.3
70,0.4718,0.8135,0.8276,58.4,32.4,3.9024,19.0
80,0.4687,0.816,0.8272,53.8,35.0,4.2806,21.7
90,0.4648,0.8158,0.8291,52.0,33.8,3.9387,24.4
100,0.4618,0.8155,0.8281,57.8,35.0,3.7623,27.1
