epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.9108,0.808,0.8472,53.0,24.4,3.8058,1.0
20,0.8797,0.8066,0.8468,51.4,25.0,3.8428,2.0
30,0.8671,0.8124,0.852,46.2,26.0,3.0551,3.1
40,0.8535,0.8086,0.8505,47.8,25.0,3.1638,4.0
50,0.8451,0.8042,0.8483,58.8,25.8,3.7866,5.0
60,0.8447,0.8063,0.8524,55.4,26.0,3.4628,5.9
70,0.8394,0.81,0.855,39.6,25.0,3.1219,6.9
80,0.8285,0.8086,0.8497,49.6,27.2,3.3536,7.8
90,0.8336,0.8052,0.8516,51.2,22.0,3.5198,8.7
100,0.8224,0.8028,0.8451,59.2,20.6,4.0733,9.6
