epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4683,0.8131,0.8396,46.6,33.0,4.5305,1.1
20,0.4559,0.8109,0.8526,46.6,26.0,3.6551,2.1
30,0.4415,0.811,0.8514,47.0,30.4,3.5287,3.1
40,0.4361,0.8112,0.8522,38.6,28.8,4.0568,4.2
50,0.4332,0.8098,0.8562,46.8,27.0,3.2129,5.2
60,0.4311,0.8071,0.8533,41.0,26.4,3.411,6.3
70,0.4302,0.8093,0.8557,42.4,27.6,3.5986,7.3
80,0.43,0.8066,0.8569,44.2,26.8,3.1641,8.4
90,0.4232,0.8092,0.8579,42.4,23.6,3.073,9.4
100,0.4236,0.8099,0.8569,41.4,25.4,3.267,10.4
