run,config,seed,epoch,image,dice,cldice,betti0_err,erl,skel_px
A_dice_clw1_s0,A_dice_clw1,0,10,01,0.82585,0.86172,72.0,3580.182,9312
A_dice_clw1_s0,A_dice_clw1,0,10,02,0.84556,0.85304,80.0,2574.031,9289
A_dice_clw1_s0,A_dice_clw1,0,10,03,0.79284,0.78205,85.0,503.232,9221
A_dice_clw1_s0,A_dice_clw1,0,10,04,0.82309,0.79385,58.0,2285.132,8926
A_dice_clw1_s0,A_dice_clw1,0,10,05,0.80268,0.78258,73.0,2652.993,9586
A_dice_clw1_s0,A_dice_clw1,0,10,06,0.78482,0.76803,107.0,2584.733,9989
A_dice_clw1_s0,A_dice_clw1,0,10,07,0.80294,0.79889,77.0,1987.417,8968
A_dice_clw1_s0,A_dice_clw1,0,10,08,0.78409,0.77973,79.0,609.712,8585
A_dice_clw1_s0,A_dice_clw1,0,10,09,0.78202,0.79592,82.0,829.288,8726
A_dice_clw1_s0,A_dice_clw1,0,10,10,0.80466,0.78779,81.0,2361.202,9137
A_dice_clw1_s0,A_dice_clw1,0,10,11,0.80902,0.78279,84.0,2812.417,10456
A_dice_clw1_s0,A_dice_clw1,0,10,12,0.81806,0.84215,68.0,1210.635,8712
A_dice_clw1_s0,A_dice_clw1,0,10,13,0.80836,0.7964,83.0,1645.124,10186
A_dice_clw1_s0,A_dice_clw1,0,10,14,0.81867,0.83103,93.0,3370.407,8358
A_dice_clw1_s0,A_dice_clw1,0,10,15,0.8006,0.82797,87.0,3450.989,7651
A_dice_clw1_s0,A_dice_clw1,0,10,16,0.84401,0.88062,83.0,4018.654,8812
A_dice_clw1_s0,A_dice_clw1,0,10,17,0.81379,0.83882,58.0,749.265,7984
A_dice_clw1_s0,A_dice_clw1,0,10,18,0.82892,0.87466,73.0,2980.615,7659
A_dice_clw1_s0,A_dice_clw1,0,10,19,0.8599,0.88624,70.0,5055.446,8476
A_dice_clw1_s0,A_dice_clw1,0,10,20,0.81438,0.84713,99.0,989.093,7373
A_dice_clw1_s0,A_dice_clw1,0,20,01,0.82594,0.85913,77.0,3744.104,9312
A_dice_clw1_s0,A_dice_clw1,0,20,02,0.84761,0.85012,96.0,2181.313,9289
A_dice_clw1_s0,A_dice_clw1,0,20,03,0.79094,0.77844,112.0,610.996,9221
A_dice_clw1_s0,A_dice_clw1,0,20,04,0.82418,0.7964,76.0,2911.601,8926
A_dice_clw1_s0,A_dice_clw1,0,20,05,0.80477,0.78564,91.0,2716.629,9586
A_dice_clw1_s0,A_dice_clw1,0,20,06,0.79034,0.77175,102.0,2358.279,9989
A_dice_clw1_s0,A_dice_clw1,0,20,07,0.80121,0.79556,90.0,2493.749,8968
A_dice_clw1_s0,A_dice_clw1,0,20,08,0.7887,0.77985,103.0,589.905,8585
A_dice_clw1_s0,A_dice_clw1,0,20,09,0.78801,0.79372,79.0,950.644,8726
A_dice_clw1_s0,A_dice_clw1,0,20,10,0.80173,0.78351,98.0,2303.825,9137
A_dice_clw1_s0,A_dice_clw1,0,20,11,0.80809,0.78361,95.0,2967.932,10456
A_dice_clw1_s0,A_dice_clw1,0,20,12,0.81976,0.83998,66.0,1211.741,8712
A_dice_clw1_s0,A_dice_clw1,0,20,13,0.80703,0.79255,99.0,1382.363,10186
A_dice_clw1_s0,A_dice_clw1,0,20,14,0.81606,0.82045,111.0,3878.327,8358
A_dice_clw1_s0,A_dice_clw1,0,20,15,0.79747,0.82164,118.0,2994.593,7651
A_dice_clw1_s0,A_dice_clw1,0,20,16,0.83812,0.87453,99.0,4172.063,8812
A_dice_clw1_s0,A_dice_clw1,0,20,17,0.81207,0.83428,90.0,870.584,7984
A_dice_clw1_s0,A_dice_clw1,0,20,18,0.82157,0.86799,76.0,1344.049,7659
A_dice_clw1_s0,A_dice_clw1,0,20,19,0.85218,0.88011,93.0,5331.346,8476
A_dice_clw1_s0,A_dice_clw1,0,20,20,0.80856,0.83761,103.0,1002.673,7373
A_dice_clw1_s0,A_dice_clw1,0,30,01,0.81976,0.85401,88.0,4117.427,9312
A_dice_clw1_s0,A_dice_clw1,0,30,02,0.84987,0.85558,79.0,2600.615,9289
A_dice_clw1_s0,A_dice_clw1,0,30,03,0.78793,0.76708,80.0,511.244,9221
A_dice_clw1_s0,A_dice_clw1,0,30,04,0.82409,0.79894,66.0,2668.051,8926
A_dice_clw1_s0,A_dice_clw1,0,30,05,0.80527,0.78178,71.0,2584.128,9586
A_dice_clw1_s0,A_dice_clw1,0,30,06,0.78973,0.76384,94.0,1216.115,9989
A_dice_clw1_s0,A_dice_clw1,0,30,07,0.80611,0.79106,70.0,2615.282,8968
A_dice_clw1_s0,A_dice_clw1,0,30,08,0.78877,0.77424,95.0,672.51,8585
A_dice_clw1_s0,A_dice_clw1,0,30,09,0.78201,0.78514,77.0,656.479,8726
A_dice_clw1_s0,A_dice_clw1,0,30,10,0.80352,0.77963,79.0,1993.788,9137
A_dice_clw1_s0,A_dice_clw1,0,30,11,0.80844,0.77886,82.0,2744.736,10456
A_dice_clw1_s0,A_dice_clw1,0,30,12,0.81535,0.83801,63.0,1293.662,8712
A_dice_clw1_s0,A_dice_clw1,0,30,13,0.80345,0.79146,94.0,1641.365,10186
A_dice_clw1_s0,A_dice_clw1,0,30,14,0.81478,0.82541,94.0,3593.926,8358
