config,run,epoch,seed,field_arm,image,source,along,across,erl_split,erl_bridged,dice,fg
A_dice,A_dice_s8,10,8,H_aug_dir,01,raw,0.0,0.0,0.48273,0.67719,0.82752,33130
A_dice,A_dice_s8,10,8,H_aug_dir,01,isotropic,0.25,0.25,0.48273,0.67719,0.82752,33130
A_dice,A_dice_s8,10,8,H_aug_dir,01,isotropic,0.5,0.5,0.73597,0.77339,0.66531,55811
A_dice,A_dice_s8,10,8,H_aug_dir,01,isotropic,0.75,0.75,0.75489,0.79601,0.60397,64926
A_dice,A_dice_s8,10,8,H_aug_dir,01,isotropic,1.0,1.0,0.8116,0.8211,0.53572,77534
A_dice,A_dice_s8,10,8,H_aug_dir,01,isotropic,1.5,1.5,0.83989,0.84521,0.43567,102972
A_dice,A_dice_s8,10,8,H_aug_dir,01,oracle,0.0,0.25,0.48273,0.67719,0.82752,33130
A_dice,A_dice_s8,10,8,H_aug_dir,01,oracle,0.0,0.5,0.53861,0.70364,0.75857,41124
A_dice,A_dice_s8,10,8,H_aug_dir,01,oracle,0.0,1.0,0.70591,0.76059,0.62221,61285
A_dice,A_dice_s8,10,8,H_aug_dir,01,oracle,0.5,0.0,0.53256,0.69948,0.81629,35255
A_dice,A_dice_s8,10,8,H_aug_dir,01,oracle,0.5,0.25,0.55588,0.71466,0.80466,37411
A_dice,A_dice_s8,10,8,H_aug_dir,01,oracle,0.5,0.5,0.73193,0.77188,0.67364,54638
A_dice,A_dice_s8,10,8,H_aug_dir,01,oracle,0.5,1.0,0.74856,0.79328,0.57086,70364
A_dice,A_dice_s8,10,8,H_aug_dir,01,oracle,1.0,0.0,0.65924,0.75218,0.7868,40550
A_dice,A_dice_s8,10,8,H_aug_dir,01,oracle,1.0,0.25,0.6887,0.76378,0.7674,43166
A_dice,A_dice_s8,10,8,H_aug_dir,01,oracle,1.0,0.5,0.75264,0.7985,0.65977,56921
A_dice,A_dice_s8,10,8,H_aug_dir,01,oracle,1.0,1.0,0.79948,0.81935,0.54112,76436
A_dice,A_dice_s8,10,8,H_aug_dir,01,oracle,1.5,0.0,0.71508,0.78644,0.76473,43768
A_dice,A_dice_s8,10,8,H_aug_dir,01,oracle,1.5,0.25,0.75834,0.80521,0.73379,47748
A_dice,A_dice_s8,10,8,H_aug_dir,01,oracle,1.5,0.5,0.80025,0.82635,0.64274,59691
A_dice,A_dice_s8,10,8,H_aug_dir,01,oracle,1.5,1.0,0.83282,0.83615,0.52634,79824
A_dice,A_dice_s8,10,8,H_aug_dir,01,oracle,2.0,0.0,0.77357,0.81681,0.73118,48073
