epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4961,0.8096,0.8276,115.0,33.7143,9.7461,0.6
20,0.4751,0.8096,0.8276,126.5714,40.7143,6.9729,1.2
30,0.472,0.8093,0.8297,184.4286,37.1429,5.9028,1.7
40,0.4698,0.812,0.8314,120.0,36.2857,6.1344,2.4
50,0.4617,0.8104,0.8292,106.5714,36.4286,6.6641,3.0
60,0.4548,0.812,0.8256,109.2857,37.7143,8.4414,3.6
70,0.4599,0.8141,0.8275,132.1429,36.4286,6.0761,4.2
80,0.4546,0.815,0.8346,113.8571,34.1429,5.9812,4.8
90,0.4492,0.8141,0.8333,148.7143,29.4286,5.516,5.3
100,0.4504,0.816,0.8339,98.7143,33.4286,7.4691,5.9
