epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.6551,0.8039,0.8239,211.5714,34.0,6.036,0.9
20,0.6398,0.8075,0.8258,156.5714,35.2857,5.8043,1.8
30,0.6315,0.8106,0.8307,130.5714,33.4286,5.1338,2.7
40,0.6193,0.8111,0.8307,153.0,29.5714,5.0507,3.6
50,0.619,0.8132,0.8367,102.2857,31.8571,5.0846,4.5
60,0.6156,0.8144,0.8343,118.2857,27.4286,4.7597,5.4
70,0.6175,0.816,0.841,105.7143,24.4286,4.6412,6.3
80,0.607,0.8124,0.8279,128.8571,31.8571,5.1439,7.2
90,0.6056,0.8162,0.8364,114.0,27.0,4.566,8.1
100,0.6148,0.8147,0.8349,133.8571,29.2857,4.4942,9.0
