epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.5025,0.8064,0.8264,137.8571,35.8571,7.8663,0.8
20,0.4953,0.8108,0.8329,133.0,36.2857,6.4622,1.5
30,0.4889,0.8072,0.8282,110.8571,35.0,7.4987,2.2
40,0.4769,0.8072,0.8263,137.2857,35.8571,6.403,2.9
50,0.4755,0.8121,0.8379,106.5714,30.7143,5.6284,3.6
60,0.4778,0.8105,0.8321,115.5714,30.0,5.8965,4.4
70,0.4777,0.814,0.8391,98.2857,28.7143,5.7089,5.1
80,0.4683,0.812,0.83,108.2857,32.8571,6.1462,5.8
90,0.4664,0.8144,0.8339,96.0,27.5714,6.723,6.5
100,0.4734,0.8127,0.8318,104.2857,32.5714,6.0781,7.2
