epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4929,0.7957,0.8343,117.1429,33.7143,9.6693,0.9
20,0.4751,0.8024,0.8414,106.4286,38.4286,8.0346,1.8
30,0.4652,0.8062,0.841,94.1429,39.1429,8.5794,2.7
40,0.455,0.8062,0.8477,95.0,35.2857,6.3883,3.6
50,0.4502,0.7993,0.8453,97.0,33.5714,6.2908,4.6
60,0.4488,0.8059,0.8498,95.7143,33.0,5.8588,5.5
70,0.4446,0.8054,0.8461,100.5714,36.1429,6.5993,6.3
80,0.4522,0.8021,0.8433,111.2857,38.0,6.7196,7.3
90,0.4414,0.8068,0.8456,95.8571,34.1429,7.0776,8.2
100,0.4392,0.8085,0.8475,89.0,32.0,6.9969,9.1
