epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.3431,0.831,0.8617,89.6667,8.0,8.0003,0.6
20,0.3025,0.8199,0.8695,70.0,4.3333,6.8055,1.2
30,0.2743,0.8267,0.8616,92.3333,2.3333,8.3041,1.7
40,0.2574,0.8287,0.8664,78.6667,5.3333,6.6362,2.3
50,0.2482,0.837,0.8663,83.6667,4.6667,6.7029,2.9
60,0.2375,0.8356,0.8651,79.3333,5.3333,5.8521,3.4
70,0.2285,0.8418,0.8637,80.3333,7.0,5.6685,4.0
80,0.2284,0.8239,0.8581,96.3333,4.3333,7.4233,4.6
90,0.2167,0.8295,0.8615,92.3333,6.0,7.0756,5.1
100,0.212,0.831,0.8626,90.3333,6.6667,6.3969,5.7
