epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.5311,0.8423,0.8651,110.6667,10.0,6.6719,0.8
20,0.4801,0.8376,0.8663,95.6667,5.6667,7.2887,1.5
30,0.468,0.8075,0.8451,114.3333,3.3333,9.8113,2.2
40,0.4519,0.8246,0.8652,88.3333,6.0,7.5508,2.9
50,0.4473,0.8155,0.8558,80.6667,2.3333,9.298,3.6
60,0.4415,0.8317,0.8628,75.3333,4.0,8.7116,4.3
70,0.4316,0.8231,0.8576,89.0,4.3333,9.1202,5.1
80,0.4244,0.8313,0.8645,89.3333,3.3333,8.2194,5.8
90,0.4246,0.8126,0.8533,88.3333,4.3333,9.6552,6.5
100,0.4221,0.8254,0.8566,83.6667,3.6667,9.8881,7.2
