epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4041,0.8168,0.8482,101.0,4.3333,10.282,0.7
20,0.3762,0.8263,0.8649,83.0,2.6667,7.345,1.4
30,0.3625,0.824,0.8701,70.6667,4.3333,7.0816,2.1
40,0.3572,0.8477,0.8765,69.6667,7.0,5.3478,2.8
50,0.3509,0.8288,0.8646,81.6667,3.3333,7.4357,3.5
60,0.35,0.8372,0.8713,68.6667,4.0,6.7033,4.2
70,0.3398,0.8394,0.8788,64.3333,5.3333,5.5147,4.8
80,0.3404,0.8169,0.8593,87.0,1.6667,8.3985,5.5
90,0.3341,0.8401,0.8756,69.6667,5.0,6.4894,6.2
100,0.3326,0.8142,0.8555,71.6667,3.0,9.2793,6.9
