epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.3884,0.8228,0.8695,55.3333,6.3333,7.087,0.9
20,0.3563,0.8276,0.8703,61.3333,8.6667,7.5455,1.8
30,0.3485,0.8213,0.8711,62.6667,6.0,8.1269,2.7
40,0.3394,0.8133,0.8691,66.3333,3.6667,8.1005,3.5
50,0.3337,0.8201,0.8705,49.0,4.3333,8.1261,4.4
60,0.3288,0.7997,0.8592,54.3333,4.6667,9.561,5.3
70,0.3207,0.8039,0.8675,69.6667,3.6667,8.7234,6.2
80,0.3186,0.8226,0.8753,53.6667,7.0,7.3663,7.0
90,0.3191,0.8098,0.8662,56.6667,6.3333,8.0652,7.9
100,0.3098,0.8036,0.8633,64.3333,5.0,9.0237,8.8
