epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.2239,0.9126,0.9495,8.65,11.35,2.8545,0.7
20,0.1968,0.9213,0.9539,10.0,14.2,2.484,1.4
30,0.1802,0.9178,0.9525,9.35,11.2,2.6674,2.1
40,0.1704,0.9162,0.9541,10.0,9.1,2.7214,2.9
50,0.1681,0.9183,0.9521,13.2,13.35,2.5955,3.6
60,0.1608,0.916,0.9513,9.9,8.55,2.7042,4.3
70,0.1604,0.9155,0.9522,12.2,10.6,2.5826,5.0
80,0.1526,0.9168,0.9532,8.6,7.95,2.6975,5.7
90,0.1544,0.9188,0.9556,9.7,9.35,2.481,6.4
100,0.1497,0.9164,0.9518,10.8,12.85,2.5405,7.1
