epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4079,0.9151,0.9531,9.05,11.9,2.681,0.8
20,0.3739,0.9202,0.9585,8.65,11.4,2.4481,1.6
30,0.3632,0.9193,0.9566,8.7,9.15,2.4553,2.4
40,0.3532,0.9214,0.9586,7.8,9.8,2.5379,3.2
50,0.3419,0.9227,0.9587,8.15,10.65,2.4848,4.1
60,0.3402,0.9225,0.9584,9.75,11.25,2.5238,4.9
70,0.338,0.9218,0.9597,9.5,8.9,2.328,5.6
80,0.3249,0.9239,0.9602,8.0,13.05,2.3532,6.4
90,0.3306,0.9234,0.96,7.6,9.8,2.4034,7.2
100,0.3238,0.9239,0.9604,9.25,13.05,2.3981,8.0
