epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.275,0.9158,0.9552,9.15,11.95,2.5553,0.8
20,0.2545,0.9188,0.9575,8.85,10.7,2.4818,1.6
30,0.2474,0.9181,0.9561,10.5,8.9,2.491,2.4
40,0.24,0.92,0.9569,8.9,10.65,2.4719,3.2
50,0.2301,0.9198,0.9572,8.1,9.2,2.6034,4.0
60,0.2306,0.9237,0.9602,9.15,7.95,2.3068,4.8
70,0.2297,0.9218,0.959,8.55,10.85,2.4334,5.6
80,0.2223,0.9231,0.9587,8.35,12.55,2.428,6.4
90,0.2243,0.9229,0.9587,7.45,10.7,2.3642,7.2
100,0.2214,0.9233,0.9596,8.2,11.65,2.3659,8.0
