epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.2634,0.9149,0.961,4.8,10.25,2.536,1.1
20,0.2427,0.9181,0.9596,4.65,9.75,2.5411,2.1
30,0.2317,0.9163,0.957,4.8,10.15,2.746,3.2
40,0.2316,0.92,0.9645,3.75,10.2,2.4177,4.3
50,0.2266,0.9216,0.9636,4.5,10.9,2.396,5.3
60,0.2178,0.9216,0.9637,4.15,8.8,2.4329,6.4
70,0.2212,0.9232,0.9653,4.0,8.1,2.2348,7.5
80,0.2164,0.923,0.9643,4.35,8.55,2.3492,8.5
90,0.2187,0.9206,0.9626,4.7,8.6,2.4371,9.4
100,0.2152,0.9222,0.9635,5.45,10.35,2.2896,10.2
