run,config,image,component_multiple,hole_multiple,hole_area,dice,cldice,betti0_err,betti1_err
A_dice_s0,A_dice,01,0.0,0.0,0,0.82473,0.85907,87,20
A_dice_s0,A_dice,01,0.0,0.21,2,0.82481,0.85908,87,26
A_dice_s0,A_dice,01,0.0,0.52,4,0.82474,0.85881,87,30
A_dice_s0,A_dice,01,0.0,1.04,8,0.82462,0.85855,87,32
A_dice_s0,A_dice,01,0.0,2.08,17,0.82465,0.85841,87,34
A_dice_s0,A_dice,01,0.0,5.21,42,0.82424,0.85736,87,36
A_dice_s0,A_dice,01,0.0,10.42,83,0.82385,0.85453,87,41
A_dice_s0,A_dice,01,2.08,0.0,0,0.82535,0.86091,16,20
A_dice_s0,A_dice,01,2.08,0.21,2,0.82543,0.86093,16,26
A_dice_s0,A_dice,01,2.08,0.52,4,0.82536,0.86068,16,30
A_dice_s0,A_dice,01,2.08,1.04,8,0.82524,0.86044,16,32
A_dice_s0,A_dice,01,2.08,2.08,17,0.82527,0.86031,16,34
A_dice_s0,A_dice,01,2.08,5.21,42,0.82486,0.85928,16,36
A_dice_s0,A_dice,01,2.08,10.42,83,0.82447,0.85656,16,41
A_dice_s0,A_dice,02,0.0,0.0,0,0.8466,0.84529,95,19
A_dice_s0,A_dice,02,0.0,0.21,2,0.8466,0.84539,95,21
A_dice_s0,A_dice,02,0.0,0.52,4,0.8466,0.84557,95,23
A_dice_s0,A_dice,02,0.0,1.04,8,0.84666,0.84564,95,24
A_dice_s0,A_dice,02,0.0,2.08,17,0.84666,0.84564,95,24
A_dice_s0,A_dice,02,0.0,5.21,42,0.84659,0.84512,95,25
A_dice_s0,A_dice,02,0.0,10.42,83,0.84597,0.8436,95,27
A_dice_s0,A_dice,02,2.08,0.0,0,0.84859,0.85105,20,19
A_dice_s0,A_dice,02,2.08,0.21,2,0.84859,0.85116,20,21
A_dice_s0,A_dice,02,2.08,0.52,4,0.84859,0.85135,20,23
A_dice_s0,A_dice,02,2.08,1.04,8,0.84865,0.85143,20,24
A_dice_s0,A_dice,02,2.08,2.08,17,0.84865,0.85143,20,24
A_dice_s0,A_dice,02,2.08,5.21,42,0.84857,0.85092,20,25
A_dice_s0,A_dice,02,2.08,10.42,83,0.84795,0.84947,20,27
A_dice_s0,A_dice,03,0.0,0.0,0,0.77867,0.76446,105,50
A_dice_s0,A_dice,03,0.0,0.21,2,0.77867,0.76446,105,50
A_dice_s0,A_dice,03,0.0,0.52,4,0.77873,0.76424,105,53
A_dice_s0,A_dice,03,0.0,1.04,8,0.77868,0.76403,105,54
A_dice_s0,A_dice,03,0.0,2.08,17,0.77868,0.76403,105,54
A_dice_s0,A_dice,03,0.0,5.21,42,0.77921,0.76367,105,55
A_dice_s0,A_dice,03,0.0,10.42,83,0.77921,0.76367,105,55
A_dice_s0,A_dice,03,2.08,0.0,0,0.78024,0.76883,40,50
A_dice_s0,A_dice,03,2.08,0.21,2,0.78024,0.76883,40,50
A_dice_s0,A_dice,03,2.08,0.52,4,0.7803,0.76864,40,53
A_dice_s0,A_dice,03,2.08,1.04,8,0.78025,0.76842,40,54
A_dice_s0,A_dice,03,2.08,2.08,17,0.78025,0.76842,40,54
A_dice_s0,A_dice,03,2.08,5.21,42,0.78078,0.76809,40,55
A_dice_s0,A_dice,03,2.08,10.42,83,0.78078,0.76809,40,55
A_dice_s0,A_dice,04,0.0,0.0,0,0.82093,0.79132,83,46
A_dice_s0,A_dice,04,0.0,0.21,2,0.82094,0.79158,83,50
A_dice_s0,A_dice,04,0.0,0.52,4,0.82097,0.79139,83,51
A_dice_s0,A_dice,04,0.0,1.04,8,0.82097,0.79139,83,51
A_dice_s0,A_dice,04,0.0,2.08,17,0.82097,0.79139,83,51
A_dice_s0,A_dice,04,0.0,5.21,42,0.82097,0.79139,83,51
A_dice_s0,A_dice,04,0.0,10.42,83,0.82097,0.79139,83,51
A_dice_s0,A_dice,04,2.08,0.0,0,0.82329,0.7978,19,46
A_dice_s0,A_dice,04,2.08,0.21,2,0.8233,0.79808,19,50
A_dice_s0,A_dice,04,2.08,0.52,4,0.82332,0.79791,19,51
A_dice_s0,A_dice,04,2.08,1.04,8,0.82332,0.79791,19,51
A_dice_s0,A_dice,04,2.08,2.08,17,0.82332,0.79791,19,51
A_dice_s0,A_dice,04,2.08,5.21,42,0.82332,0.79791,19,51
A_dice_s0,A_dice,04,2.08,10.42,83,0.82332,0.79791,19,51
A_dice_s0,A_dice,05,0.0,0.0,0,0.79903,0.78247,98,35
A_dice_s0,A_dice,05,0.0,0.21,2,0.79904,0.78238,98,37
A_dice_s0,A_dice,05,0.0,0.52,4,0.79906,0.78269,98,41
A_dice_s0,A_dice,05,0.0,1.04,8,0.79915,0.7826,98,42
A_dice_s0,A_dice,05,0.0,2.08,17,0.79921,0.78222,98,43
A_dice_s0,A_dice,05,0.0,5.21,42,0.79905,0.78154,98,45
A_dice_s0,A_dice,05,0.0,10.42,83,0.79819,0.78039,98,48
A_dice_s0,A_dice,05,2.08,0.0,0,0.79894,0.78125,22,35
A_dice_s0,A_dice,05,2.08,0.21,2,0.79895,0.78117,22,37
A_dice_s0,A_dice,05,2.08,0.52,4,0.79897,0.78151,22,41
A_dice_s0,A_dice,05,2.08,1.04,8,0.79906,0.78143,22,42
A_dice_s0,A_dice,05,2.08,2.08,17,0.79912,0.78106,22,43
A_dice_s0,A_dice,05,2.08,5.21,42,0.79896,0.78043,22,45
A_dice_s0,A_dice,05,2.08,10.42,83,0.79809,0.77936,22,48
A_dice_s0,A_dice,06,0.0,0.0,0,0.79398,0.77068,117,43
A_dice_s0,A_dice,06,0.0,0.21,2,0.79402,0.77071,117,45
A_dice_s0,A_dice,06,0.0,0.52,4,0.79413,0.77086,117,47
A_dice_s0,A_dice,06,0.0,1.04,8,0.79407,0.77078,117,49
A_dice_s0,A_dice,06,0.0,2.08,17,0.79439,0.77098,117,52
