interim: rule (iv), report half, paired on (image, seed)

  comparison                                n   traced      t    dDice  gate
  A_dice a050: prop - shuf                  5   +0.24%   0.19  -0.0004  fails
  A_dice a050: prop - dir                   5   +0.72%   0.75  +0.0003  fails
  A_dice a100: prop - shuf                  5   +2.88%   2.21  +0.0008  fails
  A_dice a100: prop - dir                   5   +2.53%   1.71  +0.0005  fails
  A_dice a200: prop - shuf                  5   -3.75%  -3.33  +0.0005  fails
  A_dice a200: prop - dir                   5   -0.72%  -0.48  +0.0012  fails

  H_aug a050: prop - shuf                   4   -1.87%  -2.38  +0.0014  fails
  H_aug a050: prop - dir                    4   -1.09%  -1.45  +0.0005  fails
  H_aug a100: prop - shuf                   4   -1.87%  -2.09  -0.0007  fails
  H_aug a100: prop - dir                    4   -1.17%  -1.18  -0.0001  fails
  H_aug a200: prop - shuf                   4   -3.34%  -3.54  +0.0007  fails
  H_aug a200: prop - dir                    4   -1.87%  -1.95  +0.0001  fails

