Traced fraction read at a MATCHED dev Dice, on all 20 test images.

  arm                         0.790    0.800    0.810    0.815    0.820
  ---------------------------------------------------------------------
  A_dice                        --        --     22.0%    25.9%    28.5%
  H_aug                         --        --        --     27.2%    28.1%
  K_focal_aug                   --        --     43.0%    38.7%    35.4%
  A_dice_clw1                   --        --     22.8%    27.3%    29.5%
  A_dice_clw16                  --     37.2%    33.6%    35.5%       -- 
  A_dice_clw2                   --        --     23.6%    27.1%    31.3%
  A_dice_clw32               51.1%    43.8%    37.5%    36.6%       -- 
  A_dice_clw4                   --        --     26.7%    28.3%    34.3%
  A_dice_clw64               48.3%    45.6%       --        --        -- 
  A_dice_clw8                   --        --     27.7%    33.5%    34.8%
  A_dice_w32                    --        --     23.3%    25.9%    27.0%
  A_dice_w64_d5                 --     15.4%    21.4%    26.3%    28.6%
  B_cldice                      --        --     23.2%    25.1%    29.1%
  B_cldice_w32                  --        --     24.8%    26.7%    25.6%
  B_cldice_w64_d5               --     15.3%    20.1%    27.5%    28.4%
  C_boundary                    --        --     23.0%    24.2%    27.5%
  D_blurpool                    --        --     22.8%    25.8%    29.5%
  E_cbdice                      --        --     21.6%    23.6%    25.2%
  F_gated                       --        --     23.3%    25.9%    31.1%
  G_focal                       --        --     33.2%    26.5%    33.5%
  H_aug_clw1                    --        --        --     27.7%    27.4%
  H_aug_clw16                   --     48.2%    46.3%    45.8%    45.8%
  H_aug_clw2                    --        --        --     28.7%    29.4%
  H_aug_clw32                54.6%    55.2%       --        --        -- 
  H_aug_clw4                    --        --        --     31.2%    33.9%
  H_aug_clw8                    --        --     36.4%    39.6%    39.6%
  H_aug_w32                     --        --        --        --     30.4%
  H_aug_w64_d5                  --        --        --        --     27.1%
  I_coletra                     --        --     22.3%    26.7%    27.7%
  J_liot                     15.2%    18.7%    27.9%    28.6%       -- 
  K_focal_aug_clw1              --        --        --     29.6%    30.1%
  K_focal_aug_clw16             --     53.0%    49.9%    49.8%       -- 
  K_focal_aug_clw2              --        --        --     32.5%    32.9%
  K_focal_aug_clw32          60.3%    57.2%       --        --        -- 
  K_focal_aug_clw4              --        --        --     36.8%    38.2%
  K_focal_aug_clw8              --        --     44.4%    44.7%    42.7%

  '--' means fewer than three seeds reached that Dice on dev; the cell is
  refused rather than extrapolated.

  Against A_dice at each matched Dice:

  H_aug                          --       --       --   +1.0%    -0.5% 
  K_focal_aug                    --       --  +21.0%*  +12.8%*   +7.3%*
  A_dice_clw1                    --       --   +0.8%    +1.4%    +1.0% 
  A_dice_clw16                   --       --  +11.6%*   +9.6%*       --
  A_dice_clw2                    --       --   +1.6%    +1.2%    +2.8% 
  A_dice_clw32                   --       --  +15.5%*  +10.0%*       --
  A_dice_clw4                    --       --   +4.7%*   +2.3%    +5.7% 
  A_dice_clw64                   --       --       --       --       --
  A_dice_clw8                    --       --   +5.7%*   +7.6%*   +6.3% 
  A_dice_w32                     --       --   +1.1%    +0.2%    -0.9% 
  A_dice_w64_d5                  --       --   -0.8%    +0.6%    -0.4% 
  B_cldice                       --       --   +1.0%    -1.1%    +0.8% 
  B_cldice_w32                   --       --   +2.5%    +1.0%*   -2.2% 
  B_cldice_w64_d5                --       --   -2.0%    +1.8%    -0.6% 
  C_boundary                     --       --   +1.0%    -2.0%    -0.7% 
  D_blurpool                     --       --   +0.8%    -0.4%    +1.3% 
  E_cbdice                       --       --   -0.4%    -2.6%    -3.0% 
  F_gated                        --       --   +1.1%    -0.3%    +2.9% 
  G_focal                        --       --  +11.0%*   +0.3%    +5.2% 
  H_aug_clw1                     --       --       --   +1.1%    -1.1% 
  H_aug_clw16                    --       --  +24.3%*  +19.9%*  +16.8%*
  H_aug_clw2                     --       --       --   +2.5%    +0.9% 
  H_aug_clw32                    --       --       --       --       --
  H_aug_clw4                     --       --       --   +5.4%*   +5.4%*
  H_aug_clw8                     --       --  +14.2%*  +13.7%*  +11.1%*
  H_aug_w32                      --       --       --       --   +2.5%*
  H_aug_w64_d5                   --       --       --       --   -1.9% 
  I_coletra                      --       --   +0.1%    +0.9%    -0.5% 
  J_liot                         --       --   +5.9%*   +2.4%        --
  K_focal_aug_clw1               --       --       --   +3.8%    +1.6% 
  K_focal_aug_clw16              --       --  +27.9%*  +23.5%*       --
  K_focal_aug_clw2               --       --       --   +6.3%*   +4.4% 
  K_focal_aug_clw32              --       --       --       --       --
  K_focal_aug_clw4               --       --       --  +10.1%*   +9.6%*
  K_focal_aug_clw8               --       --  +22.5%*  +18.7%*  +14.1%*

  * passes the seed gate at that Dice. An arm that is starred at
  every Dice moved the frontier. An arm starred nowhere differs
  from the baseline only in where it sits on the same curve.
