epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.6863,0.8142,0.8265,78.45,29.05,4.1227,1.1
20,0.6583,0.8134,0.8215,77.75,29.5,4.2547,2.1
30,0.6345,0.8151,0.8277,73.55,24.8,4.352,3.1
40,0.6168,0.8121,0.8188,74.9,28.3,4.3569,4.2
50,0.6032,0.8128,0.8222,75.9,27.25,4.3576,5.2
60,0.6007,0.8121,0.8179,85.2,30.05,4.3651,6.2
70,0.5897,0.8127,0.8195,72.7,28.65,4.5059,7.3
80,0.5846,0.8109,0.8198,74.1,28.5,4.4606,8.3
90,0.5835,0.8099,0.8129,87.7,26.6,4.6687,9.3
100,0.5773,0.8106,0.8156,87.85,27.35,4.6828,10.4
