epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.5973,0.8143,0.8223,86.5,31.1,4.1795,0.8
20,0.564,0.8138,0.8192,97.2,27.4,4.3506,1.6
30,0.5464,0.814,0.8216,88.4,27.15,4.6415,2.4
40,0.5329,0.8127,0.8139,91.2,29.95,4.5795,3.2
50,0.5162,0.8101,0.8156,96.25,27.1,4.4973,4.0
60,0.5104,0.8054,0.8075,118.9,26.6,5.282,4.8
70,0.5021,0.8108,0.8146,99.5,28.8,4.4909,5.5
80,0.4942,0.8096,0.8134,86.8,28.7,4.618,6.3
90,0.4898,0.8097,0.8135,92.45,28.25,4.6332,7.1
100,0.4859,0.8084,0.8099,99.1,28.05,4.7286,7.9
