epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.529,0.8124,0.8198,78.95,31.85,4.6623,1.0
20,0.4979,0.8165,0.83,65.75,26.8,4.3211,2.0
30,0.484,0.8154,0.8242,78.85,28.95,4.2231,3.0
40,0.4676,0.8154,0.8229,85.75,26.55,4.2339,4.0
50,0.465,0.8132,0.8183,81.2,28.15,4.3548,5.0
60,0.4596,0.8113,0.8203,93.55,27.35,4.5693,6.0
70,0.4503,0.811,0.8167,84.8,28.35,4.6139,7.0
80,0.4505,0.8141,0.8198,70.3,28.8,4.3144,8.0
90,0.4448,0.8101,0.8156,66.45,29.8,4.3695,9.0
100,0.4445,0.8122,0.8169,77.4,28.7,4.2781,10.0
