epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.5237,0.8137,0.8213,84.75,32.5,4.3313,1.1
20,0.4981,0.8181,0.8282,60.95,26.9,4.3186,2.1
30,0.4824,0.8167,0.8241,71.15,30.55,4.123,3.2
40,0.4697,0.8169,0.8242,71.55,28.8,4.1277,4.3
50,0.4671,0.8137,0.8194,82.7,28.45,4.361,5.3
60,0.4605,0.8148,0.8219,76.1,30.75,4.2723,6.4
70,0.4499,0.8139,0.8196,73.2,30.15,4.386,7.4
80,0.4498,0.8143,0.819,72.85,27.95,4.3836,8.5
90,0.4461,0.8136,0.8216,69.3,27.45,4.2038,9.6
100,0.4435,0.8127,0.8175,77.9,25.8,4.3749,10.6
