epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.5194,0.8174,0.8312,57.75,27.3,4.4218,0.9
20,0.4962,0.8173,0.8281,62.7,23.95,4.1577,1.8
30,0.4825,0.8179,0.8256,61.35,25.75,4.4282,2.7
40,0.4742,0.8159,0.8245,70.15,25.55,4.2153,3.6
50,0.4633,0.8148,0.8237,72.1,24.8,4.3475,4.5
60,0.4595,0.8142,0.8209,74.1,24.6,4.3415,5.4
70,0.4566,0.8141,0.8193,67.75,26.65,4.4464,6.2
80,0.4544,0.811,0.822,71.7,24.9,4.5452,7.1
90,0.4434,0.8135,0.8182,65.8,25.05,4.4514,8.0
100,0.4426,0.813,0.8186,71.5,26.25,4.3656,8.9
