epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.5216,0.8165,0.83,75.05,27.5,4.1304,0.9
20,0.4995,0.8153,0.8244,72.0,29.4,4.2595,1.9
30,0.4745,0.8161,0.8251,85.0,27.9,4.2524,2.8
40,0.4712,0.8158,0.8259,67.2,30.4,4.2692,3.7
50,0.4659,0.8172,0.8237,70.25,26.65,4.1688,4.6
60,0.4547,0.8148,0.8262,68.65,26.95,4.2356,5.5
70,0.455,0.8131,0.8205,66.7,28.7,4.3528,6.5
80,0.4503,0.8138,0.8212,74.4,26.8,4.1951,7.4
90,0.4422,0.8137,0.8193,66.8,26.7,4.4551,8.3
100,0.4414,0.8123,0.8182,73.3,27.8,4.4092,9.2
