epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.5253,0.8133,0.8203,89.95,33.0,4.4492,0.9
20,0.4988,0.8177,0.8297,71.0,26.1,4.1123,1.7
30,0.4821,0.8158,0.8247,68.85,28.8,4.3321,2.6
40,0.4698,0.8158,0.8254,82.85,28.0,4.1696,3.4
50,0.4655,0.8153,0.822,77.4,27.7,4.3329,4.2
60,0.4606,0.8138,0.8221,82.3,28.2,4.2799,5.1
70,0.4504,0.8108,0.8138,88.3,28.3,4.4031,5.9
80,0.4489,0.8136,0.8199,67.3,28.75,4.3864,6.8
90,0.4441,0.8115,0.8206,72.95,24.95,4.3178,7.6
100,0.4416,0.8127,0.8185,76.95,28.05,4.2724,8.4
