epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4304,0.8162,0.8234,88.3,29.55,4.3638,0.8
20,0.4122,0.8167,0.822,86.85,29.3,4.139,1.6
30,0.4005,0.8175,0.8257,79.9,28.05,4.0954,2.3
40,0.3918,0.8167,0.8216,69.3,28.8,4.309,3.1
50,0.3839,0.8157,0.8211,76.55,30.55,4.338,3.8
60,0.3776,0.814,0.8196,79.75,29.2,4.3613,4.6
70,0.3712,0.813,0.818,71.6,31.35,4.3147,5.4
80,0.3653,0.8112,0.8138,69.55,31.55,4.5947,6.1
90,0.3612,0.8134,0.8173,75.2,29.5,4.4685,6.9
100,0.3577,0.8092,0.8102,89.25,31.45,4.4272,7.7
