epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.422,0.8141,0.8333,51.45,27.85,4.6413,1.2
20,0.4061,0.8087,0.8327,54.9,29.05,4.3169,2.3
30,0.3922,0.8086,0.8374,57.15,26.15,4.4344,3.4
40,0.3809,0.8057,0.8267,58.7,29.45,4.6147,4.5
50,0.3715,0.8074,0.8308,60.8,25.55,4.4811,5.6
60,0.3727,0.8096,0.8282,55.0,26.05,4.5328,6.8
70,0.3642,0.8086,0.8298,56.4,25.7,4.4994,7.9
80,0.3587,0.8071,0.8285,55.2,24.95,4.4607,9.0
90,0.3566,0.8096,0.8238,60.1,26.05,4.4751,10.1
100,0.3537,0.8078,0.8241,59.25,28.6,4.5733,11.2
