epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.7562,0.8159,0.8261,87.55,26.9,3.8771,1.1
20,0.7334,0.8226,0.8355,58.35,27.45,3.8619,2.2
30,0.7205,0.8203,0.832,73.7,24.85,3.6373,3.3
40,0.708,0.823,0.8368,54.25,24.5,3.6908,4.4
50,0.7096,0.8211,0.8342,55.0,24.8,3.5263,5.5
60,0.7016,0.8231,0.8335,65.8,24.05,3.4794,6.6
70,0.6989,0.8224,0.8369,59.35,25.2,3.4695,7.6
80,0.7002,0.8198,0.833,58.2,26.2,3.5071,8.7
90,0.6948,0.8214,0.8333,58.1,24.05,3.5768,9.8
100,0.6899,0.8222,0.8358,59.15,24.4,3.5196,10.9
