epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.6545,0.8161,0.8277,86.4,29.7,3.8181,0.9
20,0.6381,0.8222,0.8342,70.1,26.65,3.7057,1.8
30,0.6255,0.8194,0.8296,71.35,26.9,3.5429,2.7
40,0.6154,0.8225,0.8365,58.05,28.05,3.658,3.6
50,0.6188,0.8201,0.8311,67.9,25.35,3.5639,4.5
60,0.6107,0.8222,0.8331,70.4,25.5,3.4694,5.3
70,0.6098,0.8213,0.8368,65.6,25.3,3.5601,6.2
80,0.6093,0.821,0.8345,59.85,27.25,3.4834,7.1
90,0.6065,0.8207,0.8335,55.1,26.9,3.6691,8.0
100,0.6017,0.8215,0.8341,68.6,24.75,3.4723,8.9
