epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.5572,0.8169,0.8295,59.8,26.95,4.5158,1.1
20,0.5467,0.8175,0.8267,68.7,28.25,4.0028,2.2
30,0.5384,0.8194,0.8309,63.95,27.0,3.6646,3.3
40,0.5369,0.8218,0.8295,55.5,29.0,4.1172,4.3
50,0.5261,0.8201,0.8357,52.3,25.25,3.9946,5.4
60,0.5297,0.8208,0.8324,57.1,28.2,3.8783,6.5
70,0.5272,0.8203,0.8338,53.15,26.5,3.7876,7.6
80,0.5179,0.8218,0.8332,60.1,25.75,3.7477,8.7
90,0.5178,0.8227,0.8338,62.7,25.6,3.6588,9.8
100,0.5152,0.8234,0.8325,56.75,26.95,3.868,10.9
