epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.5566,0.8161,0.8283,61.05,29.3,4.6323,1.2
20,0.546,0.8164,0.8257,67.1,28.2,3.999,2.3
30,0.5375,0.8189,0.8327,61.65,26.05,3.7347,3.4
40,0.5334,0.8222,0.8311,53.15,28.1,4.0992,4.6
50,0.5256,0.8198,0.8353,53.85,25.95,3.9412,5.8
60,0.529,0.8199,0.8323,60.25,26.9,3.8108,6.9
70,0.5253,0.8218,0.8354,53.6,27.25,3.7043,8.0
80,0.5176,0.823,0.8348,51.95,26.35,3.6941,9.2
90,0.5174,0.8212,0.8332,63.5,27.15,3.6236,10.3
100,0.5151,0.8223,0.8329,56.05,25.5,3.6448,11.4
