epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.5662,0.8175,0.8288,80.05,25.95,4.083,1.0
20,0.5475,0.8214,0.8328,54.95,25.7,3.9751,2.0
30,0.5387,0.8193,0.8292,64.05,27.45,3.8145,3.0
40,0.5266,0.8238,0.8326,55.45,24.85,4.2497,4.0
50,0.5302,0.8211,0.8318,61.45,23.65,3.6668,5.0
60,0.5232,0.8235,0.8341,60.3,26.0,3.6852,6.1
70,0.5231,0.8207,0.8343,66.65,26.9,3.6107,7.1
80,0.5233,0.8204,0.8312,57.7,27.8,3.6931,8.0
90,0.5191,0.822,0.8319,59.1,29.2,3.7577,9.1
100,0.5161,0.8213,0.8335,64.15,26.3,3.6183,10.1
