epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.5618,0.8188,0.8324,62.5,26.4,4.2623,1.2
20,0.551,0.8182,0.8319,65.6,25.3,3.8349,2.3
30,0.5386,0.8209,0.831,70.35,23.6,3.7579,3.4
40,0.5323,0.8215,0.8338,58.6,27.9,3.9297,4.6
50,0.5254,0.8198,0.8302,53.8,26.45,3.9745,5.7
60,0.5297,0.8214,0.8338,71.5,25.5,3.6365,6.7
70,0.5283,0.823,0.8345,55.1,26.6,3.6703,7.8
80,0.5195,0.8206,0.8337,59.15,26.85,3.7735,9.0
90,0.5211,0.8211,0.8339,59.0,26.2,3.6316,10.1
100,0.5169,0.8227,0.8355,53.5,25.45,3.5954,11.3
