epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.5658,0.819,0.8311,63.2,29.35,4.208,1.0
20,0.5423,0.8179,0.829,61.95,31.05,4.0248,1.9
30,0.5356,0.8199,0.8322,58.4,26.65,4.1006,2.8
40,0.5293,0.8207,0.8334,59.2,28.55,3.7311,3.8
50,0.5344,0.8204,0.831,58.6,28.5,3.7083,4.7
60,0.5223,0.8239,0.8354,47.95,27.45,3.8144,5.7
70,0.5191,0.8239,0.8371,51.6,26.15,3.6412,6.6
80,0.5157,0.8218,0.8334,60.8,26.3,3.5066,7.5
90,0.5162,0.8216,0.8335,56.3,26.75,3.6974,8.5
100,0.5134,0.822,0.8355,55.15,24.9,3.6717,9.4
