epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4653,0.8185,0.8328,76.0,25.8,4.0823,0.9
20,0.4508,0.8169,0.8275,72.05,27.95,3.89,1.8
30,0.4451,0.8202,0.8281,78.35,27.25,3.6981,2.7
40,0.4393,0.8214,0.8306,64.45,27.35,3.8657,3.6
50,0.4451,0.8207,0.8308,76.15,27.55,3.6487,4.5
60,0.4346,0.8233,0.8323,59.45,27.95,3.7294,5.3
70,0.4345,0.8233,0.8334,61.2,26.2,3.7649,6.2
80,0.4292,0.8206,0.8299,66.25,26.7,3.495,7.1
90,0.4307,0.8221,0.8342,60.3,28.05,3.6332,8.0
100,0.4276,0.8219,0.834,60.15,26.1,3.7004,8.9
