epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4548,0.8056,0.8411,49.25,28.85,4.5969,1.3
20,0.4429,0.8014,0.8438,46.4,27.7,4.4251,2.5
30,0.4366,0.8016,0.8493,45.8,27.6,3.9934,3.7
40,0.4319,0.8026,0.8497,36.45,29.0,4.455,5.0
50,0.4256,0.7998,0.8537,38.7,26.85,3.9209,6.2
60,0.429,0.797,0.8505,44.6,29.4,4.1624,7.5
70,0.4254,0.8,0.8519,38.95,26.35,4.1669,8.7
80,0.4165,0.7975,0.8554,44.6,25.75,3.7665,9.9
90,0.4194,0.796,0.8543,43.3,22.65,3.8874,11.2
100,0.4159,0.8012,0.8554,35.35,23.5,3.9861,12.4
