run,config,seed,epoch,image,dice,cldice,betti0_err,erl,skel_px
A_dice_clw_dir_prop_a050_c025_s0,A_dice_clw_dir_prop_a050_c025,0,10,01,0.82343,0.8674,72.0,4626.885,9312
A_dice_clw_dir_prop_a050_c025_s0,A_dice_clw_dir_prop_a050_c025,0,10,02,0.84418,0.85078,100.0,4973.785,9289
A_dice_clw_dir_prop_a050_c025_s0,A_dice_clw_dir_prop_a050_c025,0,10,03,0.8035,0.80052,85.0,1290.714,9221
A_dice_clw_dir_prop_a050_c025_s0,A_dice_clw_dir_prop_a050_c025,0,10,04,0.82621,0.80552,72.0,3093.839,8926
A_dice_clw_dir_prop_a050_c025_s0,A_dice_clw_dir_prop_a050_c025,0,10,05,0.8093,0.79447,79.0,3138.514,9586
A_dice_clw_dir_prop_a050_c025_s0,A_dice_clw_dir_prop_a050_c025,0,10,06,0.80005,0.78264,111.0,2825.787,9989
A_dice_clw_dir_prop_a050_c025_s0,A_dice_clw_dir_prop_a050_c025,0,10,07,0.81025,0.80854,82.0,2976.615,8968
A_dice_clw_dir_prop_a050_c025_s0,A_dice_clw_dir_prop_a050_c025,0,10,08,0.7902,0.78878,99.0,972.295,8585
A_dice_clw_dir_prop_a050_c025_s0,A_dice_clw_dir_prop_a050_c025,0,10,09,0.80299,0.81576,66.0,1384.939,8726
A_dice_clw_dir_prop_a050_c025_s0,A_dice_clw_dir_prop_a050_c025,0,10,10,0.8032,0.79755,91.0,3376.464,9137
A_dice_clw_dir_prop_a050_c025_s0,A_dice_clw_dir_prop_a050_c025,0,10,11,0.80584,0.79326,98.0,3892.981,10456
A_dice_clw_dir_prop_a050_c025_s0,A_dice_clw_dir_prop_a050_c025,0,10,12,0.82308,0.84769,79.0,1520.392,8712
A_dice_clw_dir_prop_a050_c025_s0,A_dice_clw_dir_prop_a050_c025,0,10,13,0.81801,0.81315,100.0,1746.809,10186
A_dice_clw_dir_prop_a050_c025_s0,A_dice_clw_dir_prop_a050_c025,0,10,14,0.81521,0.83071,94.0,4744.237,8358
A_dice_clw_dir_prop_a050_c025_s0,A_dice_clw_dir_prop_a050_c025,0,10,15,0.79138,0.82191,100.0,3489.094,7651
A_dice_clw_dir_prop_a050_c025_s0,A_dice_clw_dir_prop_a050_c025,0,10,16,0.8395,0.87756,103.0,4459.917,8812
A_dice_clw_dir_prop_a050_c025_s0,A_dice_clw_dir_prop_a050_c025,0,10,17,0.82263,0.85081,101.0,1556.751,7984
A_dice_clw_dir_prop_a050_c025_s0,A_dice_clw_dir_prop_a050_c025,0,10,18,0.82016,0.87612,76.0,3506.681,7659
A_dice_clw_dir_prop_a050_c025_s0,A_dice_clw_dir_prop_a050_c025,0,10,19,0.85023,0.88406,88.0,5298.958,8476
A_dice_clw_dir_prop_a050_c025_s0,A_dice_clw_dir_prop_a050_c025,0,10,20,0.80674,0.84488,101.0,1118.612,7373
A_dice_clw_dir_prop_a050_c025_s0,A_dice_clw_dir_prop_a050_c025,0,20,01,0.82462,0.86806,62.0,4688.152,9312
