run,config,seed,epoch,image,dice,cldice,betti0_err,erl,skel_px
A_dice_s0,A_dice,0,10,01,0.82732,0.86131,87.0,3835.663,9312
A_dice_s0,A_dice,0,10,02,0.84761,0.85238,78.0,4096.844,9289
A_dice_s0,A_dice,0,10,03,0.79385,0.78809,87.0,471.225,9221
A_dice_s0,A_dice,0,10,04,0.82883,0.80032,60.0,2579.38,8926
A_dice_s0,A_dice,0,10,05,0.80432,0.7834,90.0,2430.315,9586
A_dice_s0,A_dice,0,10,06,0.79183,0.77262,109.0,1154.677,9989
A_dice_s0,A_dice,0,10,07,0.80907,0.80363,86.0,2129.508,8968
A_dice_s0,A_dice,0,10,08,0.7883,0.77987,102.0,584.252,8585
A_dice_s0,A_dice,0,10,09,0.79184,0.80567,83.0,761.869,8726
A_dice_s0,A_dice,0,10,10,0.80578,0.78943,79.0,2492.068,9137
A_dice_s0,A_dice,0,10,11,0.81247,0.78761,99.0,2864.269,10456
A_dice_s0,A_dice,0,10,12,0.81849,0.84319,78.0,1181.562,8712
A_dice_s0,A_dice,0,10,13,0.81891,0.80932,91.0,1328.744,10186
A_dice_s0,A_dice,0,10,14,0.82503,0.83838,95.0,3537.511,8358
A_dice_s0,A_dice,0,10,15,0.80347,0.83103,107.0,2857.972,7651
A_dice_s0,A_dice,0,10,16,0.84002,0.87282,103.0,3654.698,8812
A_dice_s0,A_dice,0,10,17,0.81768,0.84109,90.0,1100.308,7984
A_dice_s0,A_dice,0,10,18,0.8232,0.87399,81.0,2777.32,7659
A_dice_s0,A_dice,0,10,19,0.86403,0.88691,74.0,4639.853,8476
A_dice_s0,A_dice,0,10,20,0.81244,0.84644,87.0,932.016,7373
A_dice_s0,A_dice,0,20,01,0.8251,0.85817,78.0,4053.728,9312
A_dice_s0,A_dice,0,20,02,0.85201,0.85637,85.0,4712.095,9289
A_dice_s0,A_dice,0,20,03,0.79122,0.7807,96.0,540.116,9221
A_dice_s0,A_dice,0,20,04,0.82938,0.79951,61.0,2717.696,8926
A_dice_s0,A_dice,0,20,05,0.80871,0.78652,81.0,2559.073,9586
A_dice_s0,A_dice,0,20,06,0.79597,0.77279,116.0,1347.884,9989
A_dice_s0,A_dice,0,20,07,0.81164,0.80478,87.0,2720.929,8968
A_dice_s0,A_dice,0,20,08,0.78869,0.78016,112.0,750.459,8585
A_dice_s0,A_dice,0,20,09,0.79293,0.7995,71.0,1052.966,8726
A_dice_s0,A_dice,0,20,10,0.8057,0.78462,79.0,2541.864,9137
A_dice_s0,A_dice,0,20,11,0.81225,0.78577,92.0,3096.601,10456
A_dice_s0,A_dice,0,20,12,0.81882,0.84217,75.0,1180.427,8712
A_dice_s0,A_dice,0,20,13,0.82079,0.80732,87.0,1600.538,10186
A_dice_s0,A_dice,0,20,14,0.82121,0.83019,98.0,4056.128,8358
A_dice_s0,A_dice,0,20,15,0.80606,0.82861,108.0,3439.608,7651
