run,config,seed,epoch,image,dice,cldice,betti0_err,erl,skel_px
A_dice_clw_s0,A_dice_clw,0,10,01,0.82657,0.86201,74.0,3649.44,9312
A_dice_clw_s0,A_dice_clw,0,10,02,0.84438,0.85265,82.0,2696.599,9289
A_dice_clw_s0,A_dice_clw,0,10,03,0.78986,0.78073,106.0,641.278,9221
A_dice_clw_s0,A_dice_clw,0,10,04,0.82457,0.79642,68.0,2660.138,8926
A_dice_clw_s0,A_dice_clw,0,10,05,0.80037,0.78142,80.0,2457.798,9586
A_dice_clw_s0,A_dice_clw,0,10,06,0.78872,0.77312,114.0,1229.517,9989
A_dice_clw_s0,A_dice_clw,0,10,07,0.80088,0.79817,80.0,2026.861,8968
A_dice_clw_s0,A_dice_clw,0,10,08,0.78513,0.78349,84.0,497.287,8585
A_dice_clw_s0,A_dice_clw,0,10,09,0.79583,0.81135,71.0,1053.09,8726
A_dice_clw_s0,A_dice_clw,0,10,10,0.80341,0.78816,80.0,2688.328,9137
A_dice_clw_s0,A_dice_clw,0,10,11,0.80682,0.78574,81.0,3120.754,10456
A_dice_clw_s0,A_dice_clw,0,10,12,0.81921,0.83942,78.0,1198.756,8712
A_dice_clw_s0,A_dice_clw,0,10,13,0.81399,0.8044,96.0,1349.141,10186
A_dice_clw_s0,A_dice_clw,0,10,14,0.81903,0.83191,93.0,3585.122,8358
A_dice_clw_s0,A_dice_clw,0,10,15,0.80085,0.82925,88.0,3225.566,7651
A_dice_clw_s0,A_dice_clw,0,10,16,0.84382,0.87855,91.0,4433.315,8812
A_dice_clw_s0,A_dice_clw,0,10,17,0.8169,0.84149,105.0,2142.939,7984
A_dice_clw_s0,A_dice_clw,0,10,18,0.82459,0.87131,77.0,3136.866,7659
A_dice_clw_s0,A_dice_clw,0,10,19,0.86299,0.88632,72.0,5064.561,8476
A_dice_clw_s0,A_dice_clw,0,10,20,0.81811,0.85085,113.0,655.519,7373
A_dice_clw_s0,A_dice_clw,0,20,01,0.82343,0.85903,74.0,4666.215,9312
A_dice_clw_s0,A_dice_clw,0,20,02,0.8451,0.8488,105.0,4949.899,9289
A_dice_clw_s0,A_dice_clw,0,20,03,0.79369,0.77747,105.0,708.661,9221
A_dice_clw_s0,A_dice_clw,0,20,04,0.82308,0.7962,63.0,2987.253,8926
A_dice_clw_s0,A_dice_clw,0,20,05,0.80701,0.78733,99.0,2895.106,9586
A_dice_clw_s0,A_dice_clw,0,20,06,0.79889,0.7809,99.0,1488.226,9989
A_dice_clw_s0,A_dice_clw,0,20,07,0.80728,0.79796,112.0,2864.809,8968
A_dice_clw_s0,A_dice_clw,0,20,08,0.78926,0.78227,98.0,832.123,8585
A_dice_clw_s0,A_dice_clw,0,20,09,0.80256,0.80654,87.0,1464.254,8726
A_dice_clw_s0,A_dice_clw,0,20,10,0.80345,0.78749,84.0,2884.206,9137
A_dice_clw_s0,A_dice_clw,0,20,11,0.80752,0.78741,107.0,3496.091,10456
A_dice_clw_s0,A_dice_clw,0,20,12,0.8261,0.84566,74.0,1999.965,8712
A_dice_clw_s0,A_dice_clw,0,20,13,0.81768,0.80618,114.0,2196.436,10186
A_dice_clw_s0,A_dice_clw,0,20,14,0.81164,0.81457,104.0,4387.411,8358
A_dice_clw_s0,A_dice_clw,0,20,15,0.79456,0.81821,117.0,3512.217,7651
A_dice_clw_s0,A_dice_clw,0,20,16,0.83916,0.8764,108.0,4885.705,8812
A_dice_clw_s0,A_dice_clw,0,20,17,0.81332,0.83631,111.0,2591.243,7984
A_dice_clw_s0,A_dice_clw,0,20,18,0.81743,0.86619,99.0,1797.57,7659
A_dice_clw_s0,A_dice_clw,0,20,19,0.85024,0.87514,84.0,5107.643,8476
A_dice_clw_s0,A_dice_clw,0,20,20,0.80472,0.83323,99.0,1163.409,7373
A_dice_clw_s0,A_dice_clw,0,30,01,0.82255,0.86608,70.0,4637.201,9312
A_dice_clw_s0,A_dice_clw,0,30,02,0.84417,0.85154,77.0,5059.383,9289
A_dice_clw_s0,A_dice_clw,0,30,03,0.7952,0.77967,123.0,1425.917,9221
A_dice_clw_s0,A_dice_clw,0,30,04,0.81939,0.79524,77.0,3492.512,8926
A_dice_clw_s0,A_dice_clw,0,30,05,0.81084,0.7914,102.0,3173.839,9586
A_dice_clw_s0,A_dice_clw,0,30,06,0.80459,0.7844,94.0,3068.013,9989
A_dice_clw_s0,A_dice_clw,0,30,07,0.81061,0.80029,96.0,2942.185,8968
A_dice_clw_s0,A_dice_clw,0,30,08,0.79372,0.78085,98.0,1043.624,8585
A_dice_clw_s0,A_dice_clw,0,30,09,0.80399,0.80982,84.0,1428.895,8726
A_dice_clw_s0,A_dice_clw,0,30,10,0.80589,0.78903,75.0,3175.509,9137
A_dice_clw_s0,A_dice_clw,0,30,11,0.80633,0.79011,70.0,3799.05,10456
A_dice_clw_s0,A_dice_clw,0,30,12,0.82325,0.84134,80.0,1461.759,8712
A_dice_clw_s0,A_dice_clw,0,30,13,0.81619,0.80401,96.0,3841.441,10186
A_dice_clw_s0,A_dice_clw,0,30,14,0.81547,0.82464,89.0,4221.412,8358
A_dice_clw_s0,A_dice_clw,0,30,15,0.79183,0.82448,112.0,4229.629,7651
A_dice_clw_s0,A_dice_clw,0,30,16,0.83834,0.87798,86.0,4898.694,8812
A_dice_clw_s0,A_dice_clw,0,30,17,0.81922,0.8419,91.0,2675.487,7984
A_dice_clw_s0,A_dice_clw,0,30,18,0.81422,0.86803,76.0,2105.508,7659
A_dice_clw_s0,A_dice_clw,0,30,19,0.84761,0.87596,71.0,5128.778,8476
A_dice_clw_s0,A_dice_clw,0,30,20,0.79599,0.83575,98.0,1329.717,7373
A_dice_clw_s0,A_dice_clw,0,40,01,0.8264,0.85883,70.0,4181.665,9312
A_dice_clw_s0,A_dice_clw,0,40,02,0.84897,0.84467,92.0,4748.647,9289
A_dice_clw_s0,A_dice_clw,0,40,03,0.79491,0.78114,103.0,1048.611,9221
A_dice_clw_s0,A_dice_clw,0,40,04,0.82325,0.795,62.0,2678.052,8926
A_dice_clw_s0,A_dice_clw,0,40,05,0.80556,0.78418,88.0,2552.073,9586
A_dice_clw_s0,A_dice_clw,0,40,06,0.79374,0.77147,92.0,2766.857,9989
A_dice_clw_s0,A_dice_clw,0,40,07,0.80662,0.79309,83.0,2507.738,8968
A_dice_clw_s0,A_dice_clw,0,40,08,0.78505,0.76737,92.0,703.94,8585
A_dice_clw_s0,A_dice_clw,0,40,09,0.79178,0.7894,91.0,1008.079,8726
A_dice_clw_s0,A_dice_clw,0,40,10,0.8005,0.7783,92.0,2384.713,9137
A_dice_clw_s0,A_dice_clw,0,40,11,0.80901,0.77821,104.0,3324.345,10456
A_dice_clw_s0,A_dice_clw,0,40,12,0.81927,0.83365,90.0,1280.426,8712
A_dice_clw_s0,A_dice_clw,0,40,13,0.81403,0.79326,102.0,3415.659,10186
A_dice_clw_s0,A_dice_clw,0,40,14,0.8154,0.81987,93.0,3403.466,8358
A_dice_clw_s0,A_dice_clw,0,40,15,0.79139,0.81601,108.0,3235.937,7651
A_dice_clw_s0,A_dice_clw,0,40,16,0.83394,0.8662,81.0,4024.419,8812
A_dice_clw_s0,A_dice_clw,0,40,17,0.81233,0.82912,80.0,2613.578,7984
A_dice_clw_s0,A_dice_clw,0,40,18,0.82016,0.86899,85.0,3709.459,7659
A_dice_clw_s0,A_dice_clw,0,40,19,0.85137,0.8723,104.0,5017.701,8476
A_dice_clw_s0,A_dice_clw,0,40,20,0.80966,0.83662,112.0,1099.797,7373
A_dice_clw_s0,A_dice_clw,0,50,01,0.8248,0.85918,69.0,4495.765,9312
A_dice_clw_s0,A_dice_clw,0,50,02,0.84162,0.84638,96.0,3057.149,9289
A_dice_clw_s0,A_dice_clw,0,50,03,0.78813,0.78006,126.0,742.267,9221
A_dice_clw_s0,A_dice_clw,0,50,04,0.81902,0.79114,71.0,2872.989,8926
A_dice_clw_s0,A_dice_clw,0,50,05,0.80223,0.78595,83.0,2855.722,9586
A_dice_clw_s0,A_dice_clw,0,50,06,0.79616,0.78095,116.0,1488.592,9989
A_dice_clw_s0,A_dice_clw,0,50,07,0.79966,0.78957,94.0,2980.278,8968
A_dice_clw_s0,A_dice_clw,0,50,08,0.78106,0.7686,117.0,462.981,8585
A_dice_clw_s0,A_dice_clw,0,50,09,0.79553,0.79949,78.0,1327.667,8726
A_dice_clw_s0,A_dice_clw,0,50,10,0.79942,0.7812,93.0,2741.795,9137
A_dice_clw_s0,A_dice_clw,0,50,11,0.80303,0.78161,92.0,3706.495,10456
A_dice_clw_s0,A_dice_clw,0,50,12,0.81753,0.83686,80.0,1445.883,8712
A_dice_clw_s0,A_dice_clw,0,50,13,0.80911,0.79599,103.0,1532.231,10186
A_dice_clw_s0,A_dice_clw,0,50,14,0.80952,0.81841,104.0,4072.654,8358
A_dice_clw_s0,A_dice_clw,0,50,15,0.78842,0.81802,116.0,3905.277,7651
A_dice_clw_s0,A_dice_clw,0,50,16,0.83884,0.87409,81.0,4717.865,8812
A_dice_clw_s0,A_dice_clw,0,50,17,0.81553,0.83551,105.0,2738.699,7984
A_dice_clw_s0,A_dice_clw,0,50,18,0.8209,0.86613,89.0,1978.668,7659
A_dice_clw_s0,A_dice_clw,0,50,19,0.84831,0.87184,100.0,5368.093,8476
A_dice_clw_s0,A_dice_clw,0,50,20,0.80279,0.83109,113.0,1136.018,7373
A_dice_clw_s0,A_dice_clw,0,60,01,0.8157,0.84865,94.0,4617.459,9312
A_dice_clw_s0,A_dice_clw,0,60,02,0.83864,0.83609,117.0,4730.778,9289
A_dice_clw_s0,A_dice_clw,0,60,03,0.78657,0.76966,144.0,826.184,9221
A_dice_clw_s0,A_dice_clw,0,60,04,0.81918,0.78959,87.0,2818.946,8926
A_dice_clw_s0,A_dice_clw,0,60,05,0.80102,0.78194,116.0,2615.117,9586
A_dice_clw_s0,A_dice_clw,0,60,06,0.79658,0.77716,122.0,2778.491,9989
A_dice_clw_s0,A_dice_clw,0,60,07,0.79631,0.77948,142.0,2812.264,8968
A_dice_clw_s0,A_dice_clw,0,60,08,0.77702,0.76292,129.0,778.64,8585
A_dice_clw_s0,A_dice_clw,0,60,09,0.79359,0.79077,116.0,2467.412,8726
A_dice_clw_s0,A_dice_clw,0,60,10,0.79438,0.77583,118.0,2603.71,9137
A_dice_clw_s0,A_dice_clw,0,60,11,0.79827,0.77923,118.0,3234.49,10456
A_dice_clw_s0,A_dice_clw,0,60,12,0.81375,0.83557,88.0,1545.775,8712
A_dice_clw_s0,A_dice_clw,0,60,13,0.80937,0.78955,120.0,2049.787,10186
A_dice_clw_s0,A_dice_clw,0,60,14,0.80518,0.81087,137.0,3579.258,8358
A_dice_clw_s0,A_dice_clw,0,60,15,0.77782,0.8037,129.0,3676.194,7651
A_dice_clw_s0,A_dice_clw,0,60,16,0.82952,0.86076,114.0,4744.612,8812
A_dice_clw_s0,A_dice_clw,0,60,17,0.81011,0.82573,133.0,2353.732,7984
A_dice_clw_s0,A_dice_clw,0,60,18,0.81013,0.84822,110.0,3380.768,7659
A_dice_clw_s0,A_dice_clw,0,60,19,0.84112,0.86286,116.0,5266.416,8476
A_dice_clw_s0,A_dice_clw,0,60,20,0.79373,0.8224,127.0,1284.232,7373
A_dice_clw_s0,A_dice_clw,0,70,01,0.82027,0.85543,77.0,4201.062,9312
A_dice_clw_s0,A_dice_clw,0,70,02,0.84409,0.84302,101.0,2938.707,9289
A_dice_clw_s0,A_dice_clw,0,70,03,0.79124,0.7742,118.0,698.932,9221
A_dice_clw_s0,A_dice_clw,0,70,04,0.82612,0.79561,48.0,2897.11,8926
A_dice_clw_s0,A_dice_clw,0,70,05,0.8052,0.78462,88.0,2500.516,9586
A_dice_clw_s0,A_dice_clw,0,70,06,0.79839,0.77556,107.0,1172.661,9989
A_dice_clw_s0,A_dice_clw,0,70,07,0.80426,0.79071,113.0,2733.911,8968
A_dice_clw_s0,A_dice_clw,0,70,08,0.78183,0.76408,118.0,571.144,8585
A_dice_clw_s0,A_dice_clw,0,70,09,0.79648,0.79306,98.0,1930.202,8726
A_dice_clw_s0,A_dice_clw,0,70,10,0.8041,0.78478,85.0,2410.407,9137
A_dice_clw_s0,A_dice_clw,0,70,11,0.80394,0.78277,98.0,3147.308,10456
A_dice_clw_s0,A_dice_clw,0,70,12,0.81766,0.83627,91.0,1265.357,8712
A_dice_clw_s0,A_dice_clw,0,70,13,0.81394,0.79865,122.0,1953.325,10186
A_dice_clw_s0,A_dice_clw,0,70,14,0.81181,0.82252,99.0,3185.139,8358
A_dice_clw_s0,A_dice_clw,0,70,15,0.79493,0.82214,117.0,3399.743,7651
A_dice_clw_s0,A_dice_clw,0,70,16,0.83258,0.86713,86.0,3867.233,8812
A_dice_clw_s0,A_dice_clw,0,70,17,0.81001,0.82669,122.0,2161.424,7984
A_dice_clw_s0,A_dice_clw,0,70,18,0.815,0.86408,96.0,3691.672,7659
A_dice_clw_s0,A_dice_clw,0,70,19,0.84538,0.87863,85.0,4767.463,8476
A_dice_clw_s0,A_dice_clw,0,70,20,0.79861,0.83128,120.0,1138.59,7373
A_dice_clw_s0,A_dice_clw,0,80,01,0.82368,0.85662,65.0,4019.51,9312
A_dice_clw_s0,A_dice_clw,0,80,02,0.84278,0.84552,79.0,2712.447,9289
A_dice_clw_s0,A_dice_clw,0,80,03,0.78729,0.77377,99.0,648.957,9221
A_dice_clw_s0,A_dice_clw,0,80,04,0.82227,0.79097,72.0,2746.33,8926
A_dice_clw_s0,A_dice_clw,0,80,05,0.79967,0.77993,83.0,2199.791,9586
A_dice_clw_s0,A_dice_clw,0,80,06,0.79494,0.77313,103.0,2409.078,9989
A_dice_clw_s0,A_dice_clw,0,80,07,0.80235,0.79038,91.0,2712.744,8968
A_dice_clw_s0,A_dice_clw,0,80,08,0.78035,0.76434,97.0,502.57,8585
A_dice_clw_s0,A_dice_clw,0,80,09,0.79397,0.79078,64.0,1077.552,8726
A_dice_clw_s0,A_dice_clw,0,80,10,0.80089,0.78193,81.0,2454.368,9137
A_dice_clw_s0,A_dice_clw,0,80,11,0.80465,0.78233,77.0,2978.877,10456
A_dice_clw_s0,A_dice_clw,0,80,12,0.81203,0.83248,66.0,1328.798,8712
A_dice_clw_s0,A_dice_clw,0,80,13,0.81029,0.79315,102.0,1703.217,10186
A_dice_clw_s0,A_dice_clw,0,80,14,0.81474,0.82315,103.0,3291.872,8358
A_dice_clw_s0,A_dice_clw,0,80,15,0.79255,0.82038,107.0,3427.962,7651
