run,config,seed,epoch,image,head,constant,classical
A_dice_dir_s0,A_dice_dir,0,30,01,0.2296,1.1567,0.292
A_dice_dir_s0,A_dice_dir,0,30,02,0.2105,1.1914,0.2732
A_dice_dir_s0,A_dice_dir,0,30,03,0.2809,1.1693,0.3515
A_dice_dir_s0,A_dice_dir,0,30,04,0.2613,1.1853,0.3365
A_dice_dir_s0,A_dice_dir,0,30,05,0.278,1.1732,0.3404
A_dice_dir_s0,A_dice_dir,0,30,06,0.2711,1.187,0.357
A_dice_dir_s0,A_dice_dir,0,30,07,0.2754,1.1686,0.3675
A_dice_dir_s0,A_dice_dir,0,30,08,0.2811,1.21,0.3908
A_dice_dir_s0,A_dice_dir,0,30,09,0.265,1.1867,0.3481
A_dice_dir_s0,A_dice_dir,0,30,10,0.2509,1.2358,0.3351
A_dice_dir_s0,A_dice_dir,0,30,11,0.2606,1.1985,0.3254
A_dice_dir_s0,A_dice_dir,0,30,12,0.2313,1.2153,0.3231
A_dice_dir_s0,A_dice_dir,0,30,13,0.2499,1.1961,0.3235
A_dice_dir_s0,A_dice_dir,0,30,14,0.2156,1.2165,0.2874
A_dice_dir_s0,A_dice_dir,0,30,15,0.2088,1.1724,0.2896
A_dice_dir_s0,A_dice_dir,0,30,16,0.2088,1.2397,0.304
A_dice_dir_s0,A_dice_dir,0,30,17,0.2423,1.2187,0.3617
A_dice_dir_s0,A_dice_dir,0,30,18,0.2244,1.2111,0.3146
A_dice_dir_s0,A_dice_dir,0,30,19,0.1654,1.2007,0.2488
A_dice_dir_s0,A_dice_dir,0,30,20,0.2057,1.1611,0.3032
A_dice_dir_s1,A_dice_dir,1,20,01,0.2435,1.1567,0.292
A_dice_dir_s1,A_dice_dir,1,20,02,0.2265,1.1914,0.2732
A_dice_dir_s1,A_dice_dir,1,20,03,0.2919,1.1693,0.3515
A_dice_dir_s1,A_dice_dir,1,20,04,0.2742,1.1853,0.3365
A_dice_dir_s1,A_dice_dir,1,20,05,0.292,1.1732,0.3404
A_dice_dir_s1,A_dice_dir,1,20,06,0.2799,1.187,0.357
A_dice_dir_s1,A_dice_dir,1,20,07,0.2796,1.1686,0.3675
A_dice_dir_s1,A_dice_dir,1,20,08,0.2853,1.21,0.3908
A_dice_dir_s1,A_dice_dir,1,20,09,0.2817,1.1867,0.3481
A_dice_dir_s1,A_dice_dir,1,20,10,0.2626,1.2358,0.3351
A_dice_dir_s1,A_dice_dir,1,20,11,0.2776,1.1985,0.3254
A_dice_dir_s1,A_dice_dir,1,20,12,0.25,1.2153,0.3231
A_dice_dir_s1,A_dice_dir,1,20,13,0.2632,1.1961,0.3235
A_dice_dir_s1,A_dice_dir,1,20,14,0.2362,1.2165,0.2874
A_dice_dir_s1,A_dice_dir,1,20,15,0.2212,1.1724,0.2896
A_dice_dir_s1,A_dice_dir,1,20,16,0.2181,1.2397,0.304
A_dice_dir_s1,A_dice_dir,1,20,17,0.2589,1.2187,0.3617
A_dice_dir_s1,A_dice_dir,1,20,18,0.2397,1.2111,0.3146
A_dice_dir_s1,A_dice_dir,1,20,19,0.1829,1.2007,0.2488
A_dice_dir_s1,A_dice_dir,1,20,20,0.2153,1.1611,0.3032
A_dice_dir_s2,A_dice_dir,2,30,01,0.2327,1.1567,0.292
A_dice_dir_s2,A_dice_dir,2,30,02,0.2135,1.1914,0.2732
A_dice_dir_s2,A_dice_dir,2,30,03,0.2907,1.1693,0.3515
A_dice_dir_s2,A_dice_dir,2,30,04,0.2516,1.1853,0.3365
A_dice_dir_s2,A_dice_dir,2,30,05,0.2819,1.1732,0.3404
A_dice_dir_s2,A_dice_dir,2,30,06,0.2762,1.187,0.357
A_dice_dir_s2,A_dice_dir,2,30,07,0.2794,1.1686,0.3675
A_dice_dir_s2,A_dice_dir,2,30,08,0.28,1.21,0.3908
A_dice_dir_s2,A_dice_dir,2,30,09,0.2771,1.1867,0.3481
A_dice_dir_s2,A_dice_dir,2,30,10,0.2495,1.2358,0.3351
A_dice_dir_s2,A_dice_dir,2,30,11,0.2588,1.1985,0.3254
A_dice_dir_s2,A_dice_dir,2,30,12,0.2369,1.2153,0.3231
A_dice_dir_s2,A_dice_dir,2,30,13,0.2492,1.1961,0.3235
A_dice_dir_s2,A_dice_dir,2,30,14,0.22,1.2165,0.2874
A_dice_dir_s2,A_dice_dir,2,30,15,0.206,1.1724,0.2896
A_dice_dir_s2,A_dice_dir,2,30,16,0.2134,1.2397,0.304
A_dice_dir_s2,A_dice_dir,2,30,17,0.2549,1.2187,0.3617
A_dice_dir_s2,A_dice_dir,2,30,18,0.2292,1.2111,0.3146
A_dice_dir_s2,A_dice_dir,2,30,19,0.1701,1.2007,0.2488
A_dice_dir_s2,A_dice_dir,2,30,20,0.2061,1.1611,0.3032
A_dice_dir_s3,A_dice_dir,3,40,01,0.2396,1.1567,0.292
A_dice_dir_s3,A_dice_dir,3,40,02,0.2114,1.1914,0.2732
A_dice_dir_s3,A_dice_dir,3,40,03,0.2958,1.1693,0.3515
A_dice_dir_s3,A_dice_dir,3,40,04,0.2628,1.1853,0.3365
A_dice_dir_s3,A_dice_dir,3,40,05,0.2858,1.1732,0.3404
A_dice_dir_s3,A_dice_dir,3,40,06,0.275,1.187,0.357
A_dice_dir_s3,A_dice_dir,3,40,07,0.2776,1.1686,0.3675
A_dice_dir_s3,A_dice_dir,3,40,08,0.2863,1.21,0.3908
A_dice_dir_s3,A_dice_dir,3,40,09,0.2836,1.1867,0.3481
A_dice_dir_s3,A_dice_dir,3,40,10,0.2541,1.2358,0.3351
A_dice_dir_s3,A_dice_dir,3,40,11,0.2639,1.1985,0.3254
A_dice_dir_s3,A_dice_dir,3,40,12,0.2437,1.2153,0.3231
A_dice_dir_s3,A_dice_dir,3,40,13,0.2563,1.1961,0.3235
A_dice_dir_s3,A_dice_dir,3,40,14,0.2257,1.2165,0.2874
A_dice_dir_s3,A_dice_dir,3,40,15,0.206,1.1724,0.2896
A_dice_dir_s3,A_dice_dir,3,40,16,0.2168,1.2397,0.304
A_dice_dir_s3,A_dice_dir,3,40,17,0.2557,1.2187,0.3617
A_dice_dir_s3,A_dice_dir,3,40,18,0.2308,1.2111,0.3146
A_dice_dir_s3,A_dice_dir,3,40,19,0.1723,1.2007,0.2488
A_dice_dir_s3,A_dice_dir,3,40,20,0.209,1.1611,0.3032
A_dice_dir_s4,A_dice_dir,4,10,01,0.2454,1.1567,0.292
A_dice_dir_s4,A_dice_dir,4,10,02,0.2307,1.1914,0.2732
A_dice_dir_s4,A_dice_dir,4,10,03,0.3041,1.1693,0.3515
A_dice_dir_s4,A_dice_dir,4,10,04,0.2728,1.1853,0.3365
A_dice_dir_s4,A_dice_dir,4,10,05,0.2943,1.1732,0.3404
A_dice_dir_s4,A_dice_dir,4,10,06,0.2953,1.187,0.357
A_dice_dir_s4,A_dice_dir,4,10,07,0.2958,1.1686,0.3675
A_dice_dir_s4,A_dice_dir,4,10,08,0.2961,1.21,0.3908
A_dice_dir_s4,A_dice_dir,4,10,09,0.2909,1.1867,0.3481
A_dice_dir_s4,A_dice_dir,4,10,10,0.2669,1.2358,0.3351
A_dice_dir_s4,A_dice_dir,4,10,11,0.2751,1.1985,0.3254
A_dice_dir_s4,A_dice_dir,4,10,12,0.2471,1.2153,0.3231
A_dice_dir_s4,A_dice_dir,4,10,13,0.2681,1.1961,0.3235
A_dice_dir_s4,A_dice_dir,4,10,14,0.24,1.2165,0.2874
A_dice_dir_s4,A_dice_dir,4,10,15,0.2243,1.1724,0.2896
A_dice_dir_s4,A_dice_dir,4,10,16,0.2221,1.2397,0.304
A_dice_dir_s4,A_dice_dir,4,10,17,0.2568,1.2187,0.3617
A_dice_dir_s4,A_dice_dir,4,10,18,0.2534,1.2111,0.3146
A_dice_dir_s4,A_dice_dir,4,10,19,0.1856,1.2007,0.2488
A_dice_dir_s4,A_dice_dir,4,10,20,0.2198,1.1611,0.3032
A_dice_dir_s5,A_dice_dir,5,10,01,0.2373,1.1567,0.292
A_dice_dir_s5,A_dice_dir,5,10,02,0.2187,1.1914,0.2732
A_dice_dir_s5,A_dice_dir,5,10,03,0.2868,1.1693,0.3515
A_dice_dir_s5,A_dice_dir,5,10,04,0.2572,1.1853,0.3365
A_dice_dir_s5,A_dice_dir,5,10,05,0.2759,1.1732,0.3404
A_dice_dir_s5,A_dice_dir,5,10,06,0.2684,1.187,0.357
A_dice_dir_s5,A_dice_dir,5,10,07,0.2697,1.1686,0.3675
A_dice_dir_s5,A_dice_dir,5,10,08,0.2728,1.21,0.3908
A_dice_dir_s5,A_dice_dir,5,10,09,0.2711,1.1867,0.3481
A_dice_dir_s5,A_dice_dir,5,10,10,0.2498,1.2358,0.3351
A_dice_dir_s5,A_dice_dir,5,10,11,0.2572,1.1985,0.3254
A_dice_dir_s5,A_dice_dir,5,10,12,0.2425,1.2153,0.3231
A_dice_dir_s5,A_dice_dir,5,10,13,0.2586,1.1961,0.3235
A_dice_dir_s5,A_dice_dir,5,10,14,0.2209,1.2165,0.2874
A_dice_dir_s5,A_dice_dir,5,10,15,0.208,1.1724,0.2896
A_dice_dir_s5,A_dice_dir,5,10,16,0.2108,1.2397,0.304
A_dice_dir_s5,A_dice_dir,5,10,17,0.2487,1.2187,0.3617
A_dice_dir_s5,A_dice_dir,5,10,18,0.2239,1.2111,0.3146
A_dice_dir_s5,A_dice_dir,5,10,19,0.1705,1.2007,0.2488
A_dice_dir_s5,A_dice_dir,5,10,20,0.2086,1.1611,0.3032
H_aug_dir_s0,H_aug_dir,0,30,01,0.2247,1.1567,0.292
H_aug_dir_s0,H_aug_dir,0,30,02,0.2092,1.1914,0.2732
H_aug_dir_s0,H_aug_dir,0,30,03,0.2818,1.1693,0.3515
H_aug_dir_s0,H_aug_dir,0,30,04,0.2524,1.1853,0.3365
H_aug_dir_s0,H_aug_dir,0,30,05,0.2705,1.1732,0.3404
H_aug_dir_s0,H_aug_dir,0,30,06,0.2704,1.187,0.357
H_aug_dir_s0,H_aug_dir,0,30,07,0.2667,1.1686,0.3675
H_aug_dir_s0,H_aug_dir,0,30,08,0.2792,1.21,0.3908
H_aug_dir_s0,H_aug_dir,0,30,09,0.2556,1.1867,0.3481
H_aug_dir_s0,H_aug_dir,0,30,10,0.2486,1.2358,0.3351
H_aug_dir_s0,H_aug_dir,0,30,11,0.2576,1.1985,0.3254
H_aug_dir_s0,H_aug_dir,0,30,12,0.2295,1.2153,0.3231
