config,run,epoch,seed,condition,radius_px,image,erl,skel_px,dice,foreground
A_dice,A_dice_s0,30,0,raw,0,01,4917.532,9312,0.82447,34167
A_dice,A_dice_s0,30,0,closing,6,01,5832.974,9312,0.71452,46815
A_dice,A_dice_s0,30,0,closing_fair,1,01,4983.15,9312,0.82228,34543
A_dice,A_dice_s0,30,0,oracle_sever,0,01,5285.862,9312,0.82757,34335
A_dice,A_dice_s0,30,0,oracle_all,0,01,8944.818,9312,0.84443,35266
A_dice,A_dice_s0,30,0,raw,0,02,3122.052,9289,0.85077,35524
A_dice,A_dice_s0,30,0,closing,6,02,5797.135,9289,0.75385,47502
A_dice,A_dice_s0,30,0,closing_fair,1,02,5108.022,9289,0.84942,35846
A_dice,A_dice_s0,30,0,oracle_sever,0,02,3428.736,9289,0.85298,35658
A_dice,A_dice_s0,30,0,oracle_all,0,02,9161.659,9289,0.87109,36772
A_dice,A_dice_s0,30,0,raw,0,03,1287.67,9221,0.80867,31348
A_dice,A_dice_s0,30,0,closing,6,03,4068.669,9221,0.75772,40253
A_dice,A_dice_s0,30,0,closing_fair,1,03,1523.742,9221,0.81047,31697
A_dice,A_dice_s0,30,0,oracle_sever,0,03,1638.828,9221,0.81454,31666
A_dice,A_dice_s0,30,0,oracle_all,0,03,9221.0,9221,0.84734,33503
A_dice,A_dice_s0,30,0,raw,0,04,3041.337,8926,0.82772,29671
A_dice,A_dice_s0,30,0,closing,6,04,4239.352,8926,0.76136,37766
A_dice,A_dice_s0,30,0,closing_fair,1,04,3186.174,8926,0.82737,29834
A_dice,A_dice_s0,30,0,oracle_sever,0,04,3785.292,8926,0.83623,30110
A_dice,A_dice_s0,30,0,oracle_all,0,04,8926.0,8926,0.86726,31766
A_dice,A_dice_s0,30,0,raw,0,05,3057.784,9586,0.8141,28331
A_dice,A_dice_s0,30,0,closing,6,05,3694.369,9586,0.75148,36301
A_dice,A_dice_s0,30,0,closing_fair,1,05,3407.534,9586,0.81364,28600
A_dice,A_dice_s0,30,0,oracle_sever,0,05,3501.962,9586,0.82102,28679
A_dice,A_dice_s0,30,0,oracle_all,0,05,9582.001,9586,0.86365,30914
A_dice,A_dice_s0,30,0,raw,0,06,2958.517,9989,0.8034,27941
A_dice,A_dice_s0,30,0,closing,6,06,3712.687,9989,0.73414,37936
A_dice,A_dice_s0,30,0,closing_fair,1,06,3070.393,9989,0.80377,28130
A_dice,A_dice_s0,30,0,oracle_sever,0,06,3515.176,9989,0.81103,28326
A_dice,A_dice_s0,30,0,oracle_all,0,06,9254.356,9989,0.85883,30858
A_dice,A_dice_s0,30,0,raw,0,07,2978.841,8968,0.8176,28104
A_dice,A_dice_s0,30,0,closing,6,07,3925.535,8968,0.75183,36286
A_dice,A_dice_s0,30,0,closing_fair,1,07,3118.082,8968,0.81743,28307
A_dice,A_dice_s0,30,0,oracle_sever,0,07,3618.74,8968,0.82434,28438
A_dice,A_dice_s0,30,0,oracle_all,0,07,8900.258,8968,0.86002,30272
