dataset,width,config,run,seed,image,source,along,across,erl,dice,fg
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,01,raw,0.0,0.0,0.6845,0.80625,37383
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,01,isotropic,0.25,0.25,0.6845,0.80625,37383
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,01,isotropic,0.5,0.5,0.79066,0.63778,59961
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,01,isotropic,0.75,0.75,0.80081,0.58015,69182
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,01,isotropic,1.0,1.0,0.81625,0.51878,81220
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,01,isotropic,1.5,1.5,0.8636,0.42673,105972
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,01,oracle,0.0,0.25,0.6845,0.80625,37383
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,01,oracle,0.0,0.5,0.73016,0.73393,45496
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,01,oracle,0.0,1.0,0.77221,0.59702,65696
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,01,oracle,0.5,0.0,0.72705,0.79288,39458
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,01,oracle,0.5,0.25,0.73863,0.77883,41610
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,01,oracle,0.5,0.5,0.78932,0.64562,58816
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,01,oracle,0.5,1.0,0.7987,0.54969,74550
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,01,oracle,1.0,0.0,0.7741,0.75776,44750
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,01,oracle,1.0,0.25,0.78661,0.73728,47280
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,01,oracle,1.0,0.5,0.80216,0.63284,60971
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,01,oracle,1.0,1.0,0.81606,0.52367,80156
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,01,oracle,1.5,0.0,0.79239,0.73333,47884
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,01,oracle,1.5,0.25,0.80236,0.70272,51890
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,01,oracle,1.5,0.5,0.81995,0.61824,63546
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,01,oracle,1.5,1.0,0.84655,0.51084,83382
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,01,oracle,2.0,0.0,0.83063,0.69916,52424
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,01,oracle,2.0,0.25,0.8422,0.67633,55477
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,01,oracle,2.0,0.5,0.85663,0.59632,67276
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,01,oracle,2.0,1.0,0.8652,0.49726,86813
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,02,raw,0.0,0.0,0.63052,0.83054,37354
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,02,isotropic,0.25,0.25,0.63052,0.83054,37354
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,02,isotropic,0.5,0.5,0.75881,0.69976,59508
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,02,isotropic,0.75,0.75,0.78202,0.63934,68734
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,02,isotropic,1.0,1.0,0.79043,0.5755,80461
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,02,isotropic,1.5,1.5,0.85479,0.47476,105551
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,02,oracle,0.0,0.25,0.63052,0.83054,37354
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,02,oracle,0.0,0.5,0.69015,0.77635,45283
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,02,oracle,0.0,1.0,0.73612,0.65703,65234
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,02,oracle,0.5,0.0,0.67249,0.82108,39462
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,02,oracle,0.5,0.25,0.68419,0.81468,41587
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,02,oracle,0.5,0.5,0.75004,0.70664,58481
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,02,oracle,0.5,1.0,0.7767,0.60896,73774
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,02,oracle,1.0,0.0,0.72693,0.79976,44674
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,02,oracle,1.0,0.25,0.74762,0.78692,47253
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,02,oracle,1.0,0.5,0.78202,0.69383,60590
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,02,oracle,1.0,1.0,0.78948,0.58011,79526
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,02,oracle,1.5,0.0,0.75602,0.78076,47841
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,02,oracle,1.5,0.25,0.76975,0.75734,51583
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,02,oracle,1.5,0.5,0.7918,0.67637,63388
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,02,oracle,1.5,1.0,0.81357,0.56541,82850
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,02,oracle,2.0,0.0,0.78321,0.7538,51909
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,02,oracle,2.0,0.25,0.7876,0.73348,55011
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,02,oracle,2.0,0.5,0.81688,0.65413,66997
DRIVE,2.828,K_focal_aug,K_focal_aug_s0,0,02,oracle,2.0,1.0,0.85201,0.55079,86270
