config,run,seed,variant,image,dice,cldice,betti0_err,erl,skel_px
A_dice,A_dice_s0,0,rule_i,01,0.82323,0.86649,72.0,4917.532,9312
A_dice,A_dice_s0,0,rule_i,02,0.84971,0.8572,76.0,3122.052,9289
A_dice,A_dice_s0,0,rule_i,03,0.80757,0.7945,79.0,1287.67,9221
A_dice,A_dice_s0,0,rule_i,04,0.82689,0.80431,65.0,3041.337,8926
A_dice,A_dice_s0,0,rule_i,05,0.81292,0.79156,77.0,3057.784,9586
A_dice,A_dice_s0,0,rule_i,06,0.80287,0.77705,90.0,2958.517,9989
A_dice,A_dice_s0,0,rule_i,07,0.8165,0.8066,83.0,2978.841,8968
A_dice,A_dice_s0,0,rule_i,08,0.79941,0.78636,105.0,752.26,8585
A_dice,A_dice_s0,0,rule_i,09,0.8059,0.80911,81.0,1279.999,8726
A_dice,A_dice_s0,0,rule_i,10,0.8099,0.79333,68.0,3101.957,9137
A_dice,A_dice_s0,0,rule_i,11,0.80911,0.78949,78.0,3115.666,10456
A_dice,A_dice_s0,0,rule_i,12,0.82732,0.84505,51.0,1418.011,8712
A_dice,A_dice_s0,0,rule_i,13,0.81893,0.80629,94.0,2107.042,10186
A_dice,A_dice_s0,0,rule_i,14,0.81693,0.82855,89.0,4369.558,8358
A_dice,A_dice_s0,0,rule_i,15,0.79484,0.82941,88.0,3987.276,7651
A_dice,A_dice_s0,0,rule_i,16,0.84146,0.87959,82.0,4631.576,8812
A_dice,A_dice_s0,0,rule_i,17,0.81986,0.84477,79.0,2459.769,7984
A_dice,A_dice_s0,0,rule_i,18,0.81717,0.87714,79.0,3453.904,7659
A_dice,A_dice_s0,0,rule_i,19,0.84695,0.88201,69.0,4496.653,8476
A_dice,A_dice_s0,0,rule_i,20,0.80219,0.84596,94.0,1287.726,7373
A_dice,A_dice_s0,0,rule_iv,01,0.82323,0.86649,72.0,4917.532,9312
A_dice,A_dice_s0,0,rule_iv,02,0.84971,0.8572,76.0,3122.052,9289
A_dice,A_dice_s0,0,rule_iv,03,0.80757,0.7945,79.0,1287.67,9221
A_dice,A_dice_s0,0,rule_iv,04,0.82689,0.80431,65.0,3041.337,8926
A_dice,A_dice_s0,0,rule_iv,05,0.81292,0.79156,77.0,3057.784,9586
A_dice,A_dice_s0,0,rule_iv,06,0.80287,0.77705,90.0,2958.517,9989
A_dice,A_dice_s0,0,rule_iv,07,0.8165,0.8066,83.0,2978.841,8968
A_dice,A_dice_s0,0,rule_iv,08,0.79941,0.78636,105.0,752.26,8585
A_dice,A_dice_s0,0,rule_iv,09,0.8059,0.80911,81.0,1279.999,8726
A_dice,A_dice_s0,0,rule_iv,10,0.8099,0.79333,68.0,3101.957,9137
