epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.414,0.8164,0.8272,49.1,27.45,5.4845,1.4
20,0.3872,0.8211,0.8255,65.05,25.7,4.2416,2.8
30,0.3621,0.8162,0.8175,89.45,25.9,4.3086,4.3
40,0.3259,0.8133,0.813,105.1,28.3,3.7874,5.9
50,0.2963,0.8027,0.7968,159.0,25.4,4.8061,7.4
60,0.268,0.8055,0.7999,140.2,25.05,4.1225,9.0
70,0.2529,0.8052,0.8007,136.1,27.65,4.0034,10.6
80,0.2333,0.8029,0.7989,161.1,25.4,4.0424,12.2
90,0.2141,0.8031,0.8002,132.15,25.9,4.0778,13.7
100,0.2084,0.8006,0.7968,146.35,26.3,4.0987,15.3
