epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.3928,0.819,0.8327,36.95,26.95,4.9096,1.7
20,0.3708,0.817,0.8272,65.35,23.5,3.9021,3.3
30,0.3384,0.8166,0.8244,65.25,23.9,3.9982,4.9
40,0.3036,0.8144,0.8128,94.75,23.8,4.0899,6.5
50,0.2655,0.8068,0.803,90.3,28.75,4.0826,8.1
60,0.2443,0.8035,0.7966,107.15,28.25,4.1991,9.8
70,0.2212,0.803,0.7932,109.65,26.85,4.3648,11.4
80,0.1982,0.8035,0.7993,100.95,25.75,4.2156,13.0
90,0.1856,0.8048,0.7987,118.25,25.7,4.3804,14.6
100,0.1786,0.8038,0.7979,97.7,25.45,4.3473,16.3
