epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4554,0.8086,0.8145,57.85,32.7,6.1555,1.4
20,0.4442,0.8217,0.827,53.25,28.2,4.4519,2.9
30,0.4351,0.8212,0.8295,59.05,24.85,4.0237,4.3
40,0.43,0.825,0.8343,52.95,25.35,3.7851,5.8
50,0.4213,0.8233,0.8363,52.6,25.1,3.882,7.2
60,0.4228,0.8232,0.839,48.7,23.9,3.7218,8.6
70,0.4225,0.825,0.8348,56.8,24.15,3.5934,10.0
80,0.416,0.8258,0.8355,50.55,25.0,4.1674,11.5
90,0.411,0.8215,0.8332,65.15,20.75,3.619,12.9
100,0.408,0.8279,0.8343,57.35,23.95,4.1452,14.4
