run,config,image,min_size,dice,cldice,b0_pred,b0_gt,betti0_err,n,on,off,off_px,median_off
A_dice_s0,A_dice,01,0,0.8247256033493364,0.8590682651952699,96,9,87,96,45,51,303.0,2.0
A_dice_s0,A_dice,01,2,0.8249049890838522,0.8598890619580408,68,9,59,96,45,51,303.0,2.0
A_dice_s0,A_dice,01,5,0.8251023810680005,0.8606463603107601,47,9,38,96,45,51,303.0,2.0
A_dice_s0,A_dice,01,10,0.825128105338263,0.8604256566454359,31,9,22,96,45,51,303.0,2.0
A_dice_s0,A_dice,01,20,0.8254360441489621,0.8611007524753027,21,9,12,96,45,51,303.0,2.0
A_dice_s0,A_dice,01,50,0.8254274727971856,0.8594765523439244,8,9,1,96,45,51,303.0,2.0
A_dice_s0,A_dice,01,100,0.8252503693974717,0.8580704677832249,5,9,4,96,45,51,303.0,2.0
A_dice_s0,A_dice,02,0,0.8466001598531719,0.8452881824220507,99,4,95,99,49,50,251.0,3.0
A_dice_s0,A_dice,02,2,0.8466731811317403,0.8456932834600025,79,4,75,99,49,50,251.0,3.0
A_dice_s0,A_dice,02,5,0.8470431302801245,0.8469673024413646,53,4,49,99,49,50,251.0,3.0
A_dice_s0,A_dice,02,10,0.8481023935380412,0.8498812725965531,36,4,32,99,49,50,251.0,3.0
A_dice_s0,A_dice,02,20,0.8482898343463234,0.8494916280318847,20,4,16,99,49,50,251.0,3.0
A_dice_s0,A_dice,02,50,0.8483020453488198,0.8469687471011619,4,4,0,99,49,50,251.0,3.0
A_dice_s0,A_dice,02,100,0.8485422302374511,0.8458251330589606,3,4,1,99,49,50,251.0,3.0
A_dice_s0,A_dice,03,0,0.7786710844743296,0.764459860771975,106,1,105,106,56,50,416.0,5.0
A_dice_s0,A_dice,03,2,0.7786983786593885,0.7646832099518277,91,1,90,106,56,50,416.0,5.0
A_dice_s0,A_dice,03,5,0.7789251158630783,0.7657009533531574,70,1,69,106,56,50,416.0,5.0
A_dice_s0,A_dice,03,10,0.7796709561817886,0.7673834123331733,54,1,53,106,56,50,416.0,5.0
A_dice_s0,A_dice,03,20,0.7812551150685828,0.7710625053718912,34,1,33,106,56,50,416.0,5.0
A_dice_s0,A_dice,03,50,0.7811025186706189,0.7662010980807139,12,1,11,106,56,50,416.0,5.0
A_dice_s0,A_dice,03,100,0.7786986187385588,0.7587683578062496,7,1,6,106,56,50,416.0,5.0
