image,dice,cldice,betti0_err,betti1_err,b0_pred,b0_gt,hd95
im0001,0.7895025352884747,0.7631441839160634,1,6,3,4,10.44030650891055
im0002,0.7193735498839907,0.7044300097112655,2,5,4,2,11.0
im0003,0.6916706866055636,0.6062310893505073,19,37,28,9,23.53720459187964
im0004,0.674903624368921,0.685537581626368,7,2,4,11,20.591260281974
im0005,0.7497764134296971,0.7203610269457066,2,30,11,9,19.697715603592208
im0044,0.7187487961785893,0.6491814957514102,9,44,7,16,22.561028345356956
im0077,0.7412228929884321,0.7230910258112766,2,38,9,7,17.0
im0081,0.6892043872835588,0.6568106408890109,4,74,7,3,21.02379604162864
im0082,0.7561616825501151,0.681718078604861,21,42,29,8,17.69180601295413
im0139,0.6778236747256308,0.6845841000108136,5,99,9,4,18.973665961010276
im0162,0.7395846572278285,0.7269452419605081,17,36,21,4,13.341664064126334
im0163,0.7822273260359656,0.8162275075709938,7,32,8,1,13.0
im0235,0.7517494715672393,0.719608746915942,2,36,7,9,17.26267650163207
im0236,0.7803387536740606,0.7745515157400149,12,6,15,3,15.0
im0239,0.7785859307021262,0.7886797985134373,0,2,3,3,12.0
im0240,0.7592903447188551,0.7361711874773604,2,21,9,7,19.209372712298546
im0255,0.7710221860718988,0.7434479579583393,14,18,17,3,12.727922061357855
im0291,0.7966279852001346,0.7734999286304975,1,11,4,5,20.248456731316587
im0319,0.7268995672154553,0.7084867923835692,1,1,8,7,31.25539916492064
im0324,0.7063715056052221,0.6291103673163945,4,16,9,5,24.351591323771842
