image,scored_against,dice,cldice,betti0_err,betti1_err,b0_pred,b0_gt,hd95
im0162,ah,0.8469213834244727,0.8514946952551431,24,27,28,4,6.131121088305224
im0162,vk,0.6881815502505158,0.6844896813786301,7,63,28,21,19.0
im0163,ah,0.8843900319182414,0.8990101051048855,21,3,22,1,2.0
im0163,vk,0.8009195180954902,0.821958475239572,14,35,22,8,13.601470508735444
im0235,ah,0.8582308963122672,0.8735600181047359,20,13,29,9,3.605551275463989
im0235,vk,0.7126933527310071,0.7025847336863372,22,49,29,7,19.235384061671343
im0236,ah,0.853905087668071,0.8775940143730894,17,26,20,3,6.324555320336759
im0236,vk,0.7369933504861831,0.7339676234149797,5,32,20,15,19.209372712298546
im0239,ah,0.7797547181800851,0.7990976842988531,11,27,14,3,19.6468827043885
im0239,vk,0.6572097472560668,0.6747666784729033,11,25,14,3,27.16615541441225
im0240,ah,0.7528458421763458,0.8284415604987732,26,23,33,7,15.033296378372908
im0240,vk,0.6143360702001001,0.6352862931478507,24,44,33,9,25.059928172283335
im0255,ah,0.8156828746954455,0.8593067543978616,25,33,28,3,6.708203932499369
im0255,vk,0.679245729427909,0.6776821470131706,11,51,28,17,17.741157313693225
im0291,ah,0.7773719665611557,0.8199145655082131,12,13,17,5,17.0
im0291,vk,0.7055522244873486,0.6977280327492348,13,24,17,4,32.28002478313795
im0319,ah,0.7486452688620259,0.7932446216028306,42,15,49,7,13.038404810405298
im0319,vk,0.6712466008301131,0.6647920827519841,41,16,49,8,29.48385043886261
im0324,ah,0.6626078132927448,0.7256338173453681,36,12,41,5,22.02271554554524
im0324,vk,0.5812055116567623,0.5202341438613133,32,28,41,9,33.24154027718932
