image,scored_against,dice,cldice,betti0_err,betti1_err,b0_pred,b0_gt,hd95
im0001,ah,0.7822685394955445,0.8302320621302681,32,7,36,4,12.806248474865697
im0001,vk,0.7338995836942248,0.7222764852956957,33,13,36,3,18.027756377319946
im0002,ah,0.7865483074883053,0.819841031726485,35,10,37,2,15.0
im0002,vk,0.7265763586518303,0.7256140431525803,33,15,37,4,13.416407864998739
im0003,ah,0.7929043202078897,0.8185589462191987,35,7,44,9,13.45362404707371
im0003,vk,0.6629341361333432,0.6175838204437161,16,44,44,28,24.020824298928627
im0004,ah,0.7085378950598343,0.8236874816688537,30,13,41,11,17.46424919657298
im0004,vk,0.644933886389749,0.6295176706105104,37,15,41,4,22.360679774997898
im0005,ah,0.7753875231332608,0.8557341163724788,35,1,44,9,16.0
im0005,vk,0.7433175194438041,0.7082597694000266,33,29,44,11,13.601470508735444
im0044,ah,0.8313945889426219,0.8742233113993509,26,2,42,16,6.082762530298219
im0044,vk,0.727129711710137,0.6526211962317296,35,46,42,7,23.021728866442675
im0077,ah,0.8612620484395053,0.9085080402130026,19,2,26,7,1.4142135623730951
im0077,vk,0.7980957833688519,0.7728057882214907,17,36,26,9,14.560219778561036
im0081,ah,0.8631649478529395,0.9159192905083039,14,4,17,3,2.0
im0081,vk,0.7489892572484694,0.685985407393708,10,78,17,7,19.849433241279208
im0082,ah,0.8791042605787407,0.8978055567581522,9,6,17,8,2.0
im0082,vk,0.7740916271721959,0.6913337383913702,12,48,17,29,18.601075237738275
im0139,ah,0.8138404192101993,0.8569485893568105,47,8,51,4,8.54400374531753
im0139,vk,0.714962464900384,0.6890005883026217,42,107,51,9,17.69180601295413
